"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,29.292183,4.893961,15.180779
1991,31.228267,5.155637,15.720160
1992,34.887039,5.696606,15.246789
1993,33.532517,5.661003,16.128224
1994,34.648425,5.989966,17.560675
1995,33.850962,6.293814,19.035683
1996,37.319215,6.789849,19.158836
1997,38.808303,6.606740,18.536126
1998,43.196771,7.144122,19.935268
1999,47.048786,7.378400,19.460160
2000,48.155799,8.044799,19.608318
2001,49.454398,9.570441,20.376358
2002,52.220738,8.579927,20.612416
2003,54.748161,9.004848,21.229182
2004,55.504879,9.070844,23.505171
2005,58.519969,8.194206,24.023733
2006,60.456901,8.528174,24.383024
2007,61.601785,9.430792,25.040722
2008,58.861034,8.376729,23.544328
2009,56.908004,6.959127,20.841381
2010,55.174767,6.786750,19.749951
2011,52.628833,6.550214,18.501657
2012,48.704178,6.026817,16.513525
2013,50.411796,6.401098,16.839460
2014,50.957993,6.227471,17.124121
2015,52.298328,6.485211,18.252581
2016,53.983091,6.165922,18.861662
2017,54.284809,6.568452,19.406126
2018,54.636479,6.639986,19.637039
2019,54.938873,6.800082,20.055939
2020,44.138873,4.919263,18.424393
2021,50.173663,6.870136,20.692334
2022,52.946139,6.940782,21.250178
2023,51.908740,6.681618,20.288477
