"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,208.322904,78.070074,44.879716,58.651466,26.421148,0.300500,,
1991,219.194996,78.497005,49.366953,62.052630,28.972562,0.305847,,
1992,229.188833,85.714616,47.297035,66.073535,29.769732,0.333915,,
1993,221.002136,79.814997,46.151349,65.747139,28.984907,0.303743,,
1994,231.234334,79.642047,51.581767,69.684640,30.018524,0.307356,,
1995,245.480198,85.366502,59.337211,70.681138,29.761160,0.334186,,
1996,233.217113,72.382974,54.181754,75.489812,30.781389,0.381184,,
1997,244.526685,84.765953,53.459439,74.989225,30.905894,0.406175,,
1998,251.571305,84.379783,53.465839,81.618193,31.695061,0.412428,,
1999,274.045409,99.545557,55.331102,85.285730,33.457637,0.425382,,
2000,285.132111,104.033257,58.832527,86.494555,35.345986,0.425786,,
2001,286.609981,98.343352,61.225668,90.328460,36.280107,0.432394,,
2002,305.855430,112.306690,63.931778,92.065356,37.135470,0.416136,,
2003,309.981584,105.230931,68.696539,96.593109,39.023344,0.437660,,
2004,325.816085,114.941671,68.690766,100.260261,41.444189,0.479198,,
2005,340.178871,124.802450,69.894261,102.841635,42.135606,0.504919,,
2006,330.698536,120.081886,59.539463,106.132805,44.420516,0.523866,,
2007,338.366576,125.689982,61.576820,108.481850,42.079504,0.538419,,
2008,311.251628,108.627161,58.095555,102.548844,41.385424,0.594644,,
2009,276.927228,91.217173,48.137755,95.257707,41.804327,0.510267,,
2010,262.218357,74.182784,49.887676,91.916201,45.672842,0.558854,,
2011,264.320600,86.657180,46.896321,86.718751,43.484452,0.563896,,
2012,259.662909,91.682177,45.718194,79.536406,42.249946,0.476186,,
2013,234.751196,71.627516,43.197860,80.337754,39.255007,0.333059,,
2014,233.614240,74.783485,39.730805,80.622078,38.067041,0.410831,,
2015,249.402429,84.635828,42.237169,83.767706,38.240811,0.520915,,
2016,238.721751,69.637184,44.322166,86.651732,37.621058,0.489611,,
2017,253.489282,79.888396,45.964998,89.235485,37.914734,0.485669,,
2018,248.089001,70.503977,47.117127,90.291752,39.725523,0.450622,,
2019,231.742089,55.086940,46.947418,91.430103,37.825845,0.451784,,
2020,194.259812,40.639984,41.848980,73.844905,37.487320,0.438622,,
2021,210.681647,41.086232,45.258949,85.485787,38.451013,0.399666,,
2022,217.427038,53.023719,37.687128,90.448840,36.040198,0.227153,,
2023,199.692034,41.470534,34.928915,87.697887,35.073158,0.521539,,
