"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,0.210700,0.027000,0.000500,0.210700,0.027000,0.000500
1962,0.371000,0.038500,0.000500,0.371000,0.038500,0.000500
1963,0.513300,0.057300,0.000200,0.513300,0.057300,0.000600
1964,0.554700,0.086200,0.000600,0.554700,0.086200,0.000600
1965,0.657900,0.112900,0.005200,0.657900,0.112900,0.005200
1966,0.745400,0.147700,0.014200,0.745400,0.147700,0.014200
1967,0.916000,0.133100,0.005000,0.916000,0.133100,0.005000
1968,1.133000,0.131600,0.013400,1.133000,0.131600,0.013400
1969,1.123700,0.159700,0.026000,1.123700,0.159700,0.026000
1970,1.280900,0.200100,0.028900,1.280900,0.200100,0.028900
1971,1.505000,0.175000,0.048000,1.505000,0.175000,0.048000
1972,1.679000,0.245700,0.066800,1.679000,0.245700,0.066800
1973,1.854000,0.261500,0.074200,1.854000,0.261500,0.074200
1974,2.049000,0.365000,0.112800,2.049000,0.365000,0.112800
1975,1.853000,0.251800,0.101200,1.853000,0.251800,0.101200
1976,2.063000,0.273800,0.129200,2.063000,0.273800,0.129200
1977,2.160000,0.289800,0.153700,2.160000,0.289800,0.153700
1978,2.175000,0.247900,0.226600,2.175000,0.247900,0.226600
1979,2.534000,0.292000,0.198600,2.534000,0.292000,0.198600
1980,2.566000,0.293500,0.159600,2.566000,0.293500,0.159600
1981,2.589000,0.390300,0.304000,2.589000,0.390300,0.304000
1982,2.685000,0.459000,0.328000,2.685000,0.459000,0.328000
1983,2.754000,0.402000,0.364000,2.754000,0.402000,0.364000
1984,2.952000,0.373000,0.348000,2.952000,0.375000,0.348000
1985,2.913000,0.451000,0.428000,2.913000,0.451000,0.428000
1986,3.152000,0.656000,0.437300,3.152000,0.656000,0.437300
1987,3.251000,0.816100,0.440300,3.251000,0.816100,0.440300
1988,3.408000,0.798100,0.426100,3.408000,0.798100,0.426100
1989,3.446000,1.135800,0.471100,3.446000,1.135800,0.471100
1990,3.446000,1.421100,0.516900,3.446000,1.421100,0.516900
1991,3.576000,1.722300,0.566100,3.576000,1.722300,0.566100
1992,3.448000,2.043494,0.612622,3.448000,2.043494,0.612622
1993,3.348000,2.075900,0.733800,3.348000,2.075900,0.733800
1994,3.503000,2.167800,0.579700,3.503000,2.167800,0.579700
1995,3.684000,2.183600,0.683800,3.684000,2.183600,0.683800
1996,3.768000,2.214000,0.600000,3.768000,2.214000,0.600000
1997,3.968000,2.770600,1.040700,3.968000,2.770600,1.040700
1998,3.544600,3.191000,1.274000,3.544600,3.191000,1.274000
1999,4.435300,3.087931,1.279000,4.435300,3.087931,1.279000
2000,4.765000,3.475509,1.478965,4.765000,3.475509,1.478965
2001,5.131000,3.418190,2.058816,5.131000,3.418190,2.058816
2002,5.365000,3.418000,1.799000,5.365000,3.418000,1.799000
2003,5.437000,3.610000,1.858000,5.437000,3.610000,1.858000
2004,5.526000,3.418921,1.605000,5.526000,3.418921,1.605000
2005,5.697000,3.746000,2.211000,5.697000,3.746000,2.211000
2006,6.898200,4.812000,2.719000,6.898200,4.812000,2.719000
2007,6.713300,5.878113,2.737164,6.713300,5.878113,2.737164
2008,6.414300,3.996950,2.860458,6.414300,3.996950,2.860458
2009,5.700099,3.877992,2.835786,5.700099,3.877992,2.835786
2010,6.193200,3.180828,2.952012,6.193200,3.180828,2.952012
2011,6.202700,3.042121,2.701167,6.202700,3.042121,2.701167
2012,6.176801,2.777747,2.822101,6.176801,2.777747,2.822101
2013,6.685400,2.822384,2.907712,6.685400,2.822384,2.907712
2014,6.035800,3.000150,2.767650,6.035800,3.000150,2.767650
2015,6.195200,3.074213,2.750836,6.195200,3.074213,2.750836
2016,6.218500,3.129704,2.688337,6.218500,3.129704,2.688337
2017,6.217800,3.138628,2.609712,6.217800,3.138628,2.609712
2018,6.157000,3.261666,2.493956,6.157000,3.261666,2.493956
2019,6.436589,2.933450,2.610237,6.436589,2.933450,2.610237
2020,6.267900,2.733713,2.519613,6.267900,2.733713,2.519613
2021,6.772900,2.897470,2.765116,6.772900,2.897470,2.765116
2022,6.772900,2.996886,2.291346,6.468600,2.996886,2.291346
2023,6.772900,2.996886,2.291346,6.044600,2.557317,2.321956
