"Year","Spain","World"
1950,0.567934,2.372741
1951,0.593214,2.509281
1952,0.625808,2.496828
1953,0.635258,2.519009
1954,0.637748,2.522133
1955,0.628440,2.710743
1956,0.646053,2.829705
1957,0.713064,2.864250
1958,0.735020,2.886446
1959,0.665236,2.981084
1960,0.655321,3.109071
1961,0.663195,3.068418
1962,0.626900,3.117449
1963,0.633114,3.212604
1964,0.597710,3.313059
1965,0.627506,3.389338
1966,0.612078,3.482441
1967,0.587251,3.521091
1968,0.586002,3.638560
1969,0.547626,3.800910
1970,0.515162,4.031813
1971,0.517130,4.112250
1972,0.524530,4.219880
1973,0.476244,4.358162
1974,0.479814,4.257539
1975,0.502089,4.190445
1976,0.520391,4.342568
1977,0.621119,4.387958
1978,0.687588,4.445411
1979,0.777143,4.491730
1980,0.975833,4.385349
1981,1.241960,4.204303
1982,1.325994,4.095304
1983,1.340365,4.047822
1984,1.321775,4.114002
1985,1.305777,4.177916
1986,1.333804,4.164586
1987,1.155331,4.215461
1988,1.091958,4.303169
1989,1.166205,4.285587
1990,1.138426,4.275440
1991,1.040847,4.288762
1992,1.051869,4.101485
1993,1.029172,4.079975
1994,0.968632,4.061836
1995,0.950899,4.097368
1996,0.934807,4.164388
1997,0.932375,4.131378
1998,0.890197,4.059213
1999,0.823698,4.096031
2000,0.796277,4.148800
2001,0.746526,4.125716
2002,0.720540,4.162733
2003,0.657965,4.327484
2004,0.626694,4.421495
2005,0.589929,4.515645
2006,0.546602,4.611727
2007,0.504167,4.688505
2008,0.370102,4.708763
2009,0.319605,4.572416
2010,0.275236,4.774950
2011,0.220418,4.878259
2012,0.204657,4.887112
2013,0.147094,4.868795
2014,0.136267,4.830362
2015,0.104364,4.767311
2016,0.057398,4.713752
2017,0.094164,4.735624
2018,0.073386,4.780249
2019,0.004860,4.778430
2020,0.003665,4.479880
2021,0.003477,4.676995
2022,0.002727,4.676281
2023,0.002730,4.697341
