"Year","Electricity generation","Pulp, paper and print","Food processing, beverages and tobacco","Manufacturing industries and construction: Other","Residential: Stationary combustion","All others"
1990,0,0,0,1.076748,1.420832,0.014537
2020,0.569134,5.210500,0.866182,0.608233,1.373997,0.547290
2021,0.605338,5.309806,0.896829,0.656509,1.375404,0.544736
2022,0.540369,4.816881,0.972661,0.711110,1.377156,0.491991
