"Year","Uruguay","World"
1950,1.122547,2.378734
1951,1.162110,2.515504
1952,1.382436,2.502896
1953,1.518710,2.524970
1954,1.598759,2.527923
1955,1.655832,2.716614
1956,1.676850,2.835461
1957,1.823185,2.869636
1958,1.614270,2.891376
1959,1.757118,2.985590
1960,1.705376,3.112931
1961,1.606827,3.071906
1962,1.545099,3.120741
1963,1.644516,3.215595
1964,1.715948,3.315825
1965,2.057420,3.391959
1966,1.993922,3.484865
1967,1.785600,3.523155
1968,1.770986,3.640223
1969,2.014941,3.802135
1970,2.055249,4.032588
1971,2.067348,4.112597
1972,2.151007,4.219747
1973,2.033292,4.355556
1974,1.989177,4.253289
1975,2.075816,4.173319
1976,2.036371,4.310191
1977,1.938975,4.352449
1978,1.959155,4.432504
1979,2.131305,4.465701
1980,1.972812,4.364099
1981,1.809375,4.168842
1982,1.633246,4.060496
1983,1.273983,4.023942
1984,1.146363,4.068703
1985,1.089758,4.137420
1986,1.045108,4.122175
1987,1.163549,4.179654
1988,1.562322,4.262697
1989,1.575562,4.241189
1990,1.281027,4.266701
1991,1.452959,4.282473
1992,1.640698,4.090168
1993,1.408931,4.068620
1994,1.273534,4.047994
1995,1.431369,4.083544
1996,1.688417,4.148108
1997,1.713257,4.114970
1998,1.744522,4.044522
1999,2.055704,4.079117
2000,1.615631,4.133621
2001,1.539440,4.107635
2002,1.393528,4.144280
2003,1.382768,4.307030
2004,1.697804,4.399256
2005,1.746045,4.493561
2006,2.009722,4.585831
2007,1.808642,4.661509
2008,2.488534,4.682571
2009,2.413922,4.545518
2010,1.904985,4.744937
2011,2.310459,4.848876
2012,2.579769,4.854014
2013,2.239227,4.837742
2014,1.991405,4.804597
2015,2.000623,4.739116
2016,1.929518,4.682487
2017,1.815299,4.705259
2018,1.935581,4.752195
2019,1.886396,4.747814
2020,1.905526,4.457744
2021,2.304949,4.634748
2022,2.212046,4.678452
2023,2.251109,4.707772
2024,2.354367,4.729075
