"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,6.631000,0.040500,0.497800
1962,,,,6.662000,0.182700,0.662800
1963,,,,6.680000,0.093000,0.797000
1964,,,,7.177000,0.128500,0.951700
1965,,,,7.207000,0.175000,0.912400
1966,,,,7.332000,0.172500,0.874800
1967,,,,7.290300,0.168000,0.763000
1968,,,,7.556700,0.274000,0.734000
1969,,,,7.510800,0.226000,0.729000
1970,,,,7.165100,0.241000,0.820000
1971,,,,7.373400,0.351000,0.714000
1972,,,,7.519600,0.239000,0.793000
1973,,,,7.847000,0.222000,0.795000
1974,,,,8.059000,0.249000,0.584000
1975,,,,8.484000,0.246000,0.615000
1976,,,,8.453700,0.229000,0.751000
1977,,,,8.259200,0.258000,0.719000
1978,,,,8.107100,0.246000,0.810000
1979,,,,7.654600,0.186000,0.762000
1980,,,,7.386300,0.188000,0.713000
1981,,,,6.751000,0.191300,0.576900
1982,,,,6.368000,0.213500,0.527200
1983,,,,6.762000,0.169200,0.513500
1984,,,,6.765000,0.159300,0.545400
1985,,,,6.639000,0.222900,0.456200
1986,,,,6.645000,0.172000,0.498000
1987,,,,6.442000,0.138200,0.496000
1988,5.577000,0.144000,0.728400,5.577000,0.144000,0.728400
1989,4.878000,0.119700,0.390000,4.878000,0.119700,0.390000
1990,4.129000,0.108700,0.300400,4.129000,0.108700,0.300400
1991,3.205000,0.131200,0.287600,3.205000,0.131200,0.287600
1992,4.082000,0.025567,1.036096,4.082000,0.025567,1.036096
1993,4.260000,0.022479,1.305882,4.260000,0.022479,1.305882
1994,5.300000,0.035000,1.310000,5.300000,0.035000,1.310000
1995,3.842000,0.127200,1.148100,3.842000,0.127200,1.148100
1996,3.747000,0.219300,0.830900,3.747000,0.219300,0.830900
1997,4.214000,0.197900,1.003300,4.214000,0.197900,1.003300
1998,4.320000,0.233600,1.002100,4.320000,0.233600,1.002100
1999,6.775000,0.307500,1.030200,4.137000,0.307500,1.030200
2000,7.260000,0.378500,1.100300,4.262000,0.378500,1.100300
2001,6.150000,0.458300,0.756500,3.083000,0.458300,0.756500
2002,6.150000,0.495800,0.788600,3.180000,0.495800,0.788600
2003,6.650000,0.423900,0.944700,3.360000,0.423900,0.944700
2004,8.650000,0.530200,0.868200,3.743000,0.530200,0.868200
2005,7.170000,0.668600,0.655900,3.359900,0.668600,0.655900
2006,7.845000,0.540800,0.603800,3.607200,0.540800,0.603800
2007,9.250000,0.804774,0.624714,4.416600,0.804774,0.624714
2008,8.280000,0.917703,0.481245,3.862900,0.917703,0.481245
2009,8.160000,0.651493,0.416667,3.850400,0.651493,0.416667
2010,8.290000,0.714722,0.508584,4.220000,0.714722,0.508584
2011,8.540000,0.897329,0.475491,4.422020,0.897329,0.475491
2012,8.240000,0.745695,0.478682,4.249000,0.745695,0.478682
2013,8.250000,0.668723,0.589487,4.320605,0.668723,0.589487
2014,8.620000,0.818054,0.725758,4.724700,0.818054,0.725758
2015,8.590000,0.953100,0.715011,4.835189,0.953100,0.715011
2016,8.870000,0.982785,0.833272,4.944725,0.982785,0.833272
2017,9.160000,1.084180,0.884905,5.031392,1.084180,0.884905
2018,9.400000,1.269416,1.005982,5.012843,1.269416,1.005982
2019,8.740000,1.373326,1.035260,4.993725,1.373326,1.035260
2020,8.900000,1.486558,1.178299,4.667101,1.486558,1.178299
2021,9.630000,1.486558,1.178299,5.069098,1.550963,1.250891
2022,9.250000,1.486558,1.178299,4.814799,1.485635,0.991121
2023,9.360000,1.486558,1.178299,4.206213,0.834273,0.805891
