"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1988,557.201843,468.926740,78.411506,31.976302,0.132313,-22.245017
1990,442.608763,374.408656,71.564476,29.755072,0.127472,-33.246913
1991,437.285360,371.526052,66.325845,25.459436,0.126970,-26.152943
1992,445.657660,362.061280,64.690570,23.693068,0.120967,-4.908224
1993,437.457060,363.118463,62.519842,24.272576,0.130156,-12.583978
1994,432.247446,358.175110,61.817644,24.198346,0.156146,-12.099800
1995,423.569859,360.736320,60.116056,24.849420,0.216005,-22.347943
1996,419.626063,375.343838,59.186081,24.628784,0.286818,-39.819457
1997,409.488537,365.551722,58.672355,24.615393,0.378695,-39.729627
1998,372.783404,337.407588,56.081402,24.322819,0.446792,-45.475196
1999,363.781293,327.646850,54.574069,23.635283,0.594517,-42.669426
2000,353.731617,315.814158,52.376426,23.716211,1.100520,-39.275698
2001,359.929487,311.915728,54.300269,23.705430,1.552209,-31.544150
2002,340.930070,304.533982,52.307632,22.416360,2.008713,-40.336617
2003,352.266396,317.278686,52.324684,22.601638,2.442261,-42.380872
2004,346.390969,322.397778,51.750683,23.017813,2.886977,-53.662283
2005,347.012984,321.404074,51.986360,23.229976,3.413423,-53.020850
2006,367.669551,335.253713,51.928735,23.509988,4.045049,-47.067934
2007,373.633916,334.642943,50.572227,24.286555,4.384396,-40.252205
2008,366.843703,328.374571,49.726368,23.853635,4.740975,-39.851846
2009,348.657743,314.836774,47.731963,21.048251,4.858845,-39.818090
2010,367.357708,332.977255,47.066352,20.640989,4.725744,-38.052632
2011,360.430063,332.354557,45.561962,20.904673,5.124699,-43.515828
2012,352.579588,324.671816,45.300797,21.081804,5.425031,-43.899860
2013,346.514765,320.699169,45.390743,21.230703,5.290690,-46.096540
2014,341.435178,308.208959,44.998150,21.048550,5.705251,-38.525732
2015,347.589648,311.303891,45.856913,20.378035,4.972834,-34.922024
2016,351.657809,321.373178,45.392935,21.534091,5.049103,-41.691498
2017,365.600618,334.528903,45.696528,22.548414,5.189979,-42.363207
2018,366.232789,333.734631,46.393121,22.835066,5.092028,-41.822057
2019,362.531650,315.435815,43.437225,21.899089,4.986828,-23.227307
2020,346.673013,300.050956,43.276838,22.538060,4.864717,-24.057558
2021,373.921307,328.710382,42.625899,22.764217,4.695876,-24.875067
2022,344.008485,312.837349,40.961251,22.233792,4.425942,-36.449848
2023,315.404254,280.071848,40.099070,23.885501,4.003991,-32.656157
