"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1988,,,,2.555477,2.345187,2.555477,2.577887,2.473353,2.473353,2.519370,2.533350,2.660724,3.090003,3.069376,2.800607,2.831725,3.029090,3.028442,2.940629,2.940790,2.725596,2.770044,2.798443,2.782151
1989,,,,2.506907,2.544175,2.506907,2.529031,2.441630,2.441630,2.488285,2.502683,2.616738,2.998043,2.980388,2.787055,2.817341,3.015725,3.015043,2.923137,2.923302,2.717720,,,
1990,,,,2.281433,2.346374,2.271854,2.272154,2.194912,2.195061,2.247215,2.261937,2.364335,2.697423,2.682562,2.575471,2.604780,2.793693,2.791878,2.704298,2.704477,2.498187,2.530769,2.553905,2.539693
1991,,,,2.194909,2.215445,2.196648,2.196847,2.124954,2.124889,2.176852,2.195124,2.294107,2.577024,2.562505,2.388401,2.416631,2.597513,2.596409,2.524200,2.524381,2.345422,2.352511,2.367896,2.362412
1992,,,,2.105308,2.072440,2.090828,2.091043,2.024813,2.024835,2.068460,2.087848,2.186043,2.441601,2.428770,2.317710,2.345039,2.525248,2.524184,2.458197,2.458405,2.295139,2.287192,2.299840,2.293278
1993,,,,2.051274,2.011370,2.079434,2.079674,2.026676,2.026692,2.056027,2.076740,2.169038,2.399129,2.391942,2.261326,2.276068,2.449726,2.448733,2.391249,2.391475,2.246621,2.221039,2.230764,2.222043
1994,,,,2.072394,2.049256,2.086003,2.086293,2.045112,2.045127,2.069986,2.091846,2.181048,2.374075,2.367393,2.223426,2.248375,2.419751,2.418718,2.365159,2.365409,2.205505,2.195722,2.205570,2.196495
1995,,,,2.063267,2.042179,2.078518,2.078533,2.049973,2.049974,2.068177,2.098824,2.178725,2.336106,2.330209,2.167175,2.190827,2.359834,2.358976,2.309933,2.309886,2.152428,2.138518,2.145475,2.136942
1996,,,,2.069003,2.031204,2.053164,2.053196,2.040971,2.040972,2.070445,2.101987,2.173853,2.312037,2.311236,2.139950,2.162226,2.325054,2.324274,2.281085,2.281063,2.118612,2.107590,2.110607,2.100600
1997,,,,2.072676,2.049536,2.060995,2.060979,2.064506,2.064506,2.087222,2.122960,2.187549,2.278977,2.279900,2.134383,2.155436,2.314089,2.313321,2.273496,2.273408,2.099987,2.096259,2.093844,2.090759
1998,,,,2.030899,2.041000,2.017145,2.017180,1.999190,1.999160,2.023697,2.062559,2.095354,2.125272,2.127848,2.064245,2.083942,2.229421,2.228425,2.192816,2.192739,2.015182,2.008679,2.001949,1.999729
1999,,,,2.012614,2.001231,1.997679,1.997726,1.997393,1.997367,2.015780,2.057777,2.088532,2.069336,2.075325,2.027486,2.046020,2.179853,2.179314,2.148955,2.149925,1.954887,1.957543,1.947153,1.945602
2000,,,,1.865609,1.887091,1.857287,1.857324,1.852287,1.852248,1.874986,2.047211,2.070932,1.966874,1.976118,1.975507,1.992990,2.124544,2.123870,2.093923,2.094081,1.873107,1.882901,1.869046,1.857851
2001,1.848396,,,1.825838,1.830762,1.807148,1.790898,1.823116,1.823072,1.845489,2.023602,2.059522,1.995347,2.006668,2.048398,2.064600,2.195329,2.194701,2.166784,2.166935,1.939083,1.955548,1.938503,1.851351
2002,,1.799393,,1.792114,1.801344,1.772285,1.753486,1.778417,1.778367,1.797497,1.979070,2.014528,1.914530,1.925628,1.984043,1.999873,2.131132,2.130626,2.102549,2.102629,1.864619,1.886117,1.866907,1.828791
2003,,,1.794467,1.825074,1.827058,1.794759,1.773702,1.791977,1.791918,1.817462,2.000880,2.033086,1.912750,1.923125,1.997410,2.013521,2.135359,2.134785,2.109045,2.109066,1.868596,1.889592,1.864086,1.826433
2004,,,,1.802023,1.814769,1.754155,1.754230,1.770318,1.770243,1.808670,1.995890,2.021017,1.883454,1.895519,1.981506,1.998239,2.123728,2.123030,2.100917,2.100950,1.845680,1.871678,1.847312,1.804360
2005,,,,,1.824195,1.764401,1.764892,1.789412,1.789334,1.829084,2.020680,2.040258,1.879274,1.885104,1.999711,2.016812,2.139587,2.139035,2.118606,2.113509,1.849174,1.873130,1.855322,1.814565
