"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2014,,,,,,,,,,,,,,-32.603483,-33.289259,-31.269145,-34.641621,-35.122026,-34.982513,-36.634778,-34.463234,-38.754489,-39.732161
2015,,,,,,,,,,,,,,,-29.972746,-28.362218,-32.887475,-32.579463,-31.238592,-32.795081,-30.886896,-35.374767,-36.166979
2016,,,,,,,,,,,,,,,,-29.219162,-32.620648,-32.266860,-32.733547,-40.251759,-38.139914,-42.740189,-43.618806
2017,,,,,,,,,,,,,,,,,-37.439845,-37.489758,-37.197853,-41.296369,-39.149074,-43.670814,-44.339406
2018,,,,,,,,,,,,,,,,,,-37.156462,-38.055193,-40.710065,-38.522650,-42.979531,-43.806060
2019,,,,,,,,,,,,,,,,,,,-17.036370,-22.299479,-20.065702,-24.606765,-25.235563
2020,,,,,,,,,,,,,,,,,,,,-22.944560,-20.783761,-25.434845,-26.109014
2021,,,,,,,,,,,,,,,,,,,,,-21.844518,-25.966066,-26.858411
2022,,,,,,,,,,,,,,,,,,,,,,-37.747008,-38.504466
2023,,,,,,,,,,,,,,,,,,,,,,,-35.827778
