"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1988,-37.445200,0.133841,,,-9.842358,0.776961
1990,-34.001488,0.302818,,,-9.202285,0.783448
1991,-22.882415,0.241349,,,-8.758623,0.786692
1992,-11.834157,0.235188,,,-8.402080,0.789936
1993,-16.609883,0.010827,,,-8.471018,0.793180
1994,-31.714276,0.186784,,,-7.929387,0.796424
1995,-53.600225,0.335486,,,-7.592378,0.799668
1996,-51.214552,0.712242,,,-7.746257,0.802912
1997,-54.192234,0.593209,,,-7.379597,0.806156
1998,-43.391865,0.991513,,,-7.317141,0.809400
1999,-38.920812,0.309019,,,-7.855190,0.812644
2000,-35.193923,0.514751,,,-7.732638,0.815888
2001,-26.742439,0.239063,,,-7.752977,0.817254
2002,-35.368734,1.004827,,,-7.846024,0.818620
2003,-36.865044,1.207816,,,-8.416864,0.819985
2004,-47.246695,1.441825,,,-9.224271,0.821351
2005,-46.542946,0.892809,,,-9.674329,0.822717
2006,-46.158279,0.223470,,,-9.991037,0.824083
2007,-33.285726,1.151393,,,-10.036429,0.827107
2008,-33.144982,0.530160,,,-10.129325,0.830131
2009,-40.796503,0.475251,-1.233840,,-10.678245,0.833155
2010,-47.729762,0.560811,-1.241230,,-11.238633,0.836179
2011,-43.010566,0.475154,0.132464,,-11.459787,0.839202
2012,-45.901385,0.475779,-0.769355,,-11.224786,0.842226
2013,-39.086694,0.307057,-0.805924,,-11.586141,0.842367
2014,-32.045509,0.264898,-1.456539,,-11.862837,0.842507
2015,-27.880325,0.253162,-1.439528,,-11.651459,0.842647
2016,-34.300737,0.008489,-6.021625,,-11.440231,0.842788
2017,-34.136016,0.851610,-4.586651,,-11.217859,0.842928
2018,-34.469302,0.167971,-2.781491,,-10.490934,0.843069
2019,-17.053768,0.105777,-4.255524,,-10.323711,0.843209
2020,-18.871550,0.077880,-4.485011,,-9.867603,0.843349
2021,-18.804014,0.145695,-4.435266,,-9.358950,0.843490
2022,-31.852855,0.283053,-5.523442,,-8.784274,0.843630
2023,-40.175087,0.012157,-2.830892,,-8.040393,0.843770
2024,-23.796369,0.704887,-5.619788,,-7.563230,0.852335
