"Year","Poland","World"
1950,6.706828,2.372741
1951,6.915729,2.509281
1952,6.998133,2.496828
1953,7.244643,2.519009
1954,7.360757,2.522133
1955,7.457246,2.710743
1956,7.388839,2.829705
1957,7.166126,2.864250
1958,7.209384,2.886446
1959,7.494153,2.981084
1960,7.757130,3.109071
1961,7.878050,3.068418
1962,8.037497,3.117449
1963,8.469848,3.212604
1964,8.989936,3.313059
1965,9.158641,3.389338
1966,9.395232,3.482441
1967,9.412340,3.521091
1968,9.882027,3.638560
1969,10.532417,3.800910
1970,10.967188,4.031813
1971,11.337569,4.112250
1972,11.804451,4.219880
1973,12.123010,4.358162
1974,12.357634,4.257539
1975,12.820603,4.190445
1976,13.142261,4.342568
1977,13.513296,4.387958
1978,13.807894,4.445411
1979,13.953605,4.491730
1980,13.257833,4.385349
1981,11.432911,4.204303
1982,13.153308,4.095304
1983,13.259044,4.047822
1984,13.182390,4.114002
1985,13.175540,4.177916
1986,13.277490,4.164586
1987,13.343219,4.215461
1988,13.283933,4.303169
1989,12.220997,4.285587
1990,10.357459,4.275440
1991,9.916169,4.288762
1992,9.627376,4.101485
1993,9.342760,4.079975
1994,9.311996,4.061836
1995,9.529212,4.097368
1996,9.446003,4.164388
1997,9.613291,4.131378
1998,8.337341,4.059213
1999,8.069442,4.096031
2000,7.460349,4.148800
2001,7.456652,4.125716
2002,7.435582,4.162733
2003,7.408569,4.327484
2004,7.219706,4.421495
2005,7.226044,4.515645
2006,7.097728,4.611727
2007,6.542218,4.688505
2008,6.370233,4.708763
2009,5.912059,4.572416
2010,5.801814,4.774950
2011,5.840830,4.878259
2012,6.054953,4.887112
2013,5.986360,4.868795
2014,5.669345,4.830362
2015,5.564053,4.767311
2016,5.468933,4.713752
2017,5.232201,4.735624
2018,4.977399,4.780249
2019,4.712390,4.778430
2020,4.273104,4.479880
2021,4.469262,4.676995
2022,4.175893,4.676281
2023,3.534215,4.697341
