"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1988,7.219991,5.466445,7.852931
1990,7.845715,4.994899,5.273624
1991,9.659795,5.023522,5.021279
1992,10.449916,4.255136,5.777120
1993,10.782022,4.003366,5.181136
1994,12.279043,4.038193,4.619388
1995,13.032842,4.087733,4.610543
1996,14.418436,4.789110,5.794651
1997,15.659307,4.758697,6.173979
1998,16.175368,5.391829,6.595982
1999,18.065670,6.057598,6.615015
2000,16.440921,5.455584,5.018214
2001,16.015386,5.330472,5.388461
2002,15.651190,5.221045,4.945096
2003,16.486704,5.857109,5.839100
2004,18.026699,6.981999,6.951053
2005,18.104513,5.936559,10.296579
2006,20.752333,6.332178,10.942976
2007,23.090152,6.771956,12.338718
2008,24.064412,6.464801,13.508490
2009,25.481779,6.349226,13.128961
2010,26.770867,7.415818,13.400013
2011,26.741045,7.368831,14.044214
2012,26.190578,6.860666,13.106063
2013,24.710517,5.944093,12.553240
2014,24.805982,5.840604,12.951733
2015,25.903176,6.094969,14.076557
2016,28.941263,6.900478,16.889673
2017,33.057994,7.951046,20.097920
2018,34.297428,7.978850,20.524501
2019,35.240669,8.037051,20.662402
2020,33.486617,7.706362,19.957951
2021,33.442808,8.734921,24.059627
2022,34.970615,8.018720,24.679592
2023,34.983778,7.936836,23.921185
