"Year","Poland","World"
1950,4.514355,2.378734
1951,4.833295,2.515504
1952,4.980258,2.502896
1953,5.321496,2.524970
1954,5.545678,2.527923
1955,5.694248,2.716614
1956,6.040658,2.835461
1957,6.361258,2.869636
1958,6.168581,2.891376
1959,6.511260,2.985590
1960,6.746957,3.112931
1961,6.912038,3.071906
1962,7.139656,3.120741
1963,7.530882,3.215595
1964,7.836237,3.315825
1965,7.893587,3.391959
1966,7.996116,3.484865
1967,8.137780,3.523155
1968,8.597494,3.640223
1969,9.076342,3.802135
1970,9.346789,4.032588
1971,9.547628,4.112597
1972,9.972464,4.219747
1973,10.067934,4.355556
1974,10.291766,4.253289
1975,11.034606,4.173319
1976,11.608322,4.310191
1977,12.069889,4.352449
1978,12.333966,4.432504
1979,12.520073,4.465701
1980,13.023557,4.364099
1981,11.392587,4.168842
1982,11.618481,4.060496
1983,11.511754,4.023942
1984,11.718337,4.068703
1985,11.948962,4.137420
1986,12.064740,4.122175
1987,12.311897,4.179654
1988,11.746853,4.262697
1989,11.129813,4.241189
1990,9.889292,4.266701
1991,9.786034,4.282473
1992,9.527804,4.090168
1993,9.530199,4.068620
1994,9.388380,4.047994
1995,9.448353,4.083544
1996,9.831251,4.148108
1997,9.575366,4.114970
1998,8.844549,4.044522
1999,8.598171,4.079117
2000,8.293838,4.133621
2001,8.190555,4.107635
2002,8.000449,4.144280
2003,8.343018,4.307030
2004,8.478946,4.399256
2005,8.461171,4.493561
2006,8.835748,4.585831
2007,8.830377,4.661509
2008,8.670105,4.682571
2009,8.312326,4.545518
2010,8.768196,4.744937
2011,8.725933,4.848876
2012,8.517539,4.854014
2013,8.409915,4.837742
2014,8.086096,4.804597
2015,8.167728,4.739116
2016,8.449370,4.682487
2017,8.796379,4.705259
2018,8.779007,4.752195
2019,8.304427,4.747814
2020,7.914446,4.457744
2021,8.693247,4.634748
2022,8.203358,4.678452
2023,7.307087,4.707772
2024,7.080111,4.729075
