"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1988,,,,469.143824,494.885878,469.143824,469.604460,470.521451,471.735751,471.735751,470.264748,469.413912,474.657355,473.954836,470.886429,470.884679,471.978714,471.771320,472.043576,472.045174,471.414832,471.414798,471.007814,470.967316
1989,,,,446.920743,472.028070,446.920743,447.358339,450.714774,451.848701,451.848701,450.600192,449.307236,454.416195,454.130596,451.253190,451.250783,452.353086,452.143909,452.488508,452.490885,451.903182,,,
1990,,,,377.160791,396.860671,368.678291,368.728981,368.409098,369.238489,373.474720,373.191937,374.812035,379.464820,378.782539,376.039784,376.038706,376.951585,376.546518,376.807799,376.813577,376.641251,376.641218,376.341516,376.286119
1991,,,,370.962558,389.359084,368.172996,368.208643,368.030179,368.573168,371.733339,371.398962,372.751836,376.496130,375.684157,373.379314,373.378200,374.267544,373.793321,373.827919,373.834442,373.622774,373.622741,373.366023,373.309197
1992,,,,364.211798,381.944792,359.597184,359.633215,359.517451,360.198145,361.984243,362.048562,363.232779,366.413096,365.865160,363.720136,363.718928,364.675415,364.677870,364.740656,364.748781,364.510580,364.510558,364.282646,364.222275
1993,,,,347.067274,365.280130,366.036200,366.078932,365.944438,366.614934,362.349045,362.351810,363.798153,366.726683,366.427661,364.128736,364.565344,365.099955,365.370696,365.441730,365.448045,365.174879,365.174867,364.957830,364.911821
1994,,,,362.079484,376.280478,361.535235,361.582724,361.392894,362.073903,358.074289,358.162934,359.432552,362.432479,362.012959,359.612295,359.611077,360.694048,360.416808,360.510921,360.522221,360.218424,360.218415,359.990963,359.939609
1995,,,,363.736624,377.448288,366.135565,366.185879,365.910166,366.645456,359.337222,359.392690,360.975626,363.900961,363.885778,361.305165,361.303851,362.422341,362.761267,362.877091,362.892258,362.614549,362.614514,362.482913,362.433143
1996,,,,382.975667,398.762790,374.856681,375.228108,374.904426,375.599304,373.242802,372.836411,374.430769,377.676607,377.308596,375.306189,375.304645,376.441303,377.407836,377.563442,377.577851,377.285410,377.285349,377.118633,377.073768
1997,,,,369.837949,385.954309,368.565723,369.176405,368.882303,369.493826,364.189463,363.738651,365.459537,368.543244,368.415853,366.571500,366.570116,367.762169,367.385323,367.508322,367.524628,367.235674,367.235532,367.199087,367.153724
1998,,,,343.027437,357.125475,340.612114,341.255098,340.159332,340.646324,336.761071,336.617779,338.295795,339.469546,339.145830,337.342939,337.341531,338.536093,339.132886,339.346464,339.365274,339.076430,339.076145,338.980049,338.938733
1999,,,,333.268403,345.007887,328.877129,329.445659,329.374088,329.919120,327.383411,327.374120,328.870880,329.870259,329.380898,327.653708,327.652450,328.849401,329.167332,329.535926,329.552343,329.266197,329.265794,329.204293,329.161962
2000,,,,320.090184,333.253205,320.365456,320.588244,320.727002,320.925762,316.113697,317.014340,318.749132,319.482574,319.120405,317.098599,317.097260,318.202800,317.338034,317.691568,317.719195,317.452222,317.452254,317.306224,317.270702
2001,317.844218,,,320.900428,330.818761,316.821512,317.216503,317.343677,317.511539,312.712132,313.549903,314.937705,315.509064,315.274094,313.546988,313.545669,314.595631,313.647662,313.822673,313.849975,313.500550,313.500680,313.267092,313.253022
2002,,308.276889,,307.804857,317.546364,305.578062,305.692577,305.731292,305.723991,300.926987,302.042432,303.506405,307.790643,307.535642,305.731837,305.730543,306.695773,306.403333,306.583828,306.610293,306.122760,306.122944,305.852423,305.836482
