"Year","Total"
1959,192.920435
1960,232.829577
1961,283.131315
1962,293.278283
1963,325.264151
1964,359.349093
1965,386.969483
1966,419.780061
1967,489.911990
1968,562.561084
1969,653.845629
1970,769.740286
1971,799.643418
1972,861.046432
1973,914.262276
1974,914.302554
1975,869.796462
1976,909.555484
1977,935.529901
1978,905.064280
1979,957.130181
1980,948.534990
1981,930.368821
1982,900.713273
1983,884.419908
1984,940.527577
1985,915.263340
1986,914.047929
1987,902.178118
1988,984.697475
1989,1021.277964
1990,1157.393164
1991,1169.093003
1992,1178.892038
1993,1171.892495
1994,1226.893181
1995,1239.194833
1996,1251.694754
1997,1244.395220
1998,1204.594202
1999,1241.195387
2000,1263.993192
2001,1249.393454
2002,1278.994604
2003,1287.494853
2004,1282.894778
2005,1290.296113
2006,1267.295415
2007,1302.996159
2008,1232.195694
2009,1163.392540
2010,1214.798149
2011,1264.796665
2012,1305.997716
2013,1315.297799
2014,1263.805713
2015,1223.199337
2016,1203.183901
2017,1187.484462
2018,1142.480939
2019,1105.477982
2020,1040.483416
2021,1061.905265
2022,1032.686779
2023,988.784724
