"Year","Coal","Oil","Gas","Cement","Flaring"
2000,88.321494,163.468742,37.152883,14.727624,2.132561
2001,81.098083,169.398591,39.969532,15.014369,2.037955
2002,90.916846,173.920565,45.027393,15.530168,2.068617
2003,84.293098,178.249713,51.278640,16.037506,1.900389
2004,87.367004,183.598344,58.736458,16.292143,2.233623
2005,87.765558,187.750908,68.911798,16.791774,2.296656
2006,77.952428,183.442673,74.012423,16.744749,2.416184
2007,84.629074,182.939127,75.625891,16.823910,2.565329
2008,59.334167,173.208715,82.522820,14.389498,2.304123
2009,45.080902,161.035470,73.679842,11.401951,2.256498
2010,36.352366,156.338714,73.622562,11.197403,2.279813
2011,54.215350,146.018006,68.024404,9.522689,2.739058
2012,63.252868,134.677875,65.077500,8.754204,3.379175
2013,49.190519,129.347406,59.055031,7.642356,3.834518
2014,54.142112,129.901714,54.251354,8.896821,4.064613
2015,61.840899,136.332300,56.602965,9.216019,3.706672
2016,45.677289,140.242882,57.652817,9.413649,3.763630
2017,53.598261,141.131626,62.528337,9.448701,3.823100
2018,48.081437,142.101196,61.841780,9.667446,3.793986
2019,23.649356,140.025652,71.178161,9.064168,3.644885
2020,14.325830,118.806422,64.249779,8.191764,3.558305
2021,16.270555,129.748618,68.123812,8.471587,3.510619
2022,17.872014,135.100964,67.501393,7.714822,3.824197
2023,13.552842,132.889614,60.777751,7.927612,3.824197
