"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,13.968963,9.646762,6.912466,12.417333
1851,15.793672,7.992027,5.723241,13.551377
1852,21.053124,9.791307,7.835830,18.683286
1853,21.478478,10.578737,8.819395,18.577066
1854,20.694895,9.569818,7.911602,16.831683
1855,22.408694,10.043097,8.521914,18.531669
1856,21.293116,9.419118,8.019727,17.908350
1857,22.138767,10.944734,9.628882,18.367229
1858,20.240119,7.894454,6.716332,17.612628
1859,21.148974,8.794956,7.761451,18.130058
1860,23.628403,10.172620,9.266842,21.028282
1861,21.424837,9.182900,8.358647,18.053004
1862,24.383480,10.714745,9.974141,21.418865
1863,22.873436,10.101318,9.443007,18.595166
1864,21.856053,9.607887,8.981930,18.188646
1865,22.066000,9.438281,8.873182,18.797346
1866,20.221946,8.280970,7.741079,16.494632
1867,22.389568,9.684978,9.140544,19.205882
1868,20.773158,9.453926,8.888791,17.357284
1869,23.008564,9.746277,9.215986,20.485204
1870,18.393536,8.165297,7.504532,15.876368
1871,19.706641,10.892632,9.972565,16.985461
1872,17.986429,10.856176,9.730155,15.245098
1873,16.396034,8.718415,7.434586,14.531754
1874,16.422048,10.173462,8.768502,14.157733
1875,17.166096,11.345356,9.795191,15.186364
1876,18.908292,13.471246,11.777268,16.553366
1877,13.578894,8.935140,7.050415,11.245805
1878,13.996407,9.720739,7.643800,11.711023
1879,16.064845,11.559407,9.346901,13.947859
1880,22.304270,10.431591,8.644768,19.127326
1881,31.223069,12.191154,11.077188,26.492845
1882,33.969237,13.845047,12.946048,28.643137
1883,35.895548,12.813228,12.023746,31.128831
1884,36.695363,12.341891,11.666323,30.688968
1885,36.720058,12.803921,12.110509,30.770455
1886,35.267172,12.018213,11.234154,28.541388
1887,35.147323,12.054413,11.167432,28.988286
1888,35.836668,12.399672,11.452565,29.932095
1889,37.020800,14.151357,13.132545,31.096185
1890,41.394553,14.612582,13.652394,37.050368
1891,42.314693,16.160805,15.226485,37.220084
1892,39.363524,15.451638,14.305648,33.032389
1893,41.038119,15.738016,14.472470,34.411409
1894,39.106971,15.866696,14.474522,31.709612
1895,38.561035,15.470654,13.868387,32.466814
1896,40.806847,17.298807,15.535250,34.211171
1897,45.133995,18.709263,16.807940,39.713803
1898,42.756755,17.086331,15.014303,36.655022
1899,40.090242,18.715529,16.304470,34.114698
1900,52.676705,18.826218,16.987183,44.159920
1901,58.521921,18.788296,18.047362,47.833300
1902,61.794386,20.475751,19.583384,50.407663
1903,70.236388,20.031821,19.403408,59.615918
1904,69.701848,20.277455,19.910762,56.371556
1905,69.570383,22.716507,22.010637,57.223106
1906,69.512822,23.629136,22.399498,56.522366
1907,70.823838,25.025230,23.620965,58.985637
1908,74.464754,26.165210,24.947920,63.315459
1909,73.934500,26.147953,24.356000,59.979827
1910,72.718639,24.890798,23.387385,59.903872
1911,79.033323,29.337721,26.716935,65.523752
1912,85.574882,29.634066,27.549176,74.147305
1913,87.276443,29.423789,27.037206,73.678497
1914,86.069412,30.680064,27.881061,70.280137
1915,83.449176,31.490651,28.671789,68.089138
1916,85.821982,31.919156,29.006716,72.547896
1917,87.279631,35.042386,31.754019,73.731038
1918,89.404128,36.519784,32.115107,75.452276
1919,86.626670,34.398768,29.342997,70.806287
1920,97.008504,37.698273,33.222074,79.484324
1921,111.449683,39.062124,35.932885,96.802147
1922,117.979481,37.772689,34.917993,100.824120
1923,118.152825,40.532817,37.895836,96.646061
1924,116.450054,40.501343,37.694060,95.848042
1925,118.937397,41.811150,38.481416,99.175137
1926,123.438145,41.826355,39.143904,105.611539
1927,121.788942,42.258634,39.500265,100.909674
1928,118.657174,44.110640,40.063825,96.383059
1929,120.814244,46.120930,41.554560,100.741717
