"Year","BLUE","H&C2023","OSCAR","LUCE"
1966,57.193098,76.732697,9.511964,39.491361
1967,78.341486,92.902479,10.868267,56.450735
1968,155.523060,87.594698,14.710227,114.174380
1969,83.314157,86.665655,14.270987,59.193312
1970,82.291608,98.454941,11.036261,60.475492
1971,113.920538,91.381223,12.585254,80.064372
1972,79.784296,64.907540,11.434465,55.138254
1973,55.153679,58.374152,8.523930,37.721320
1974,40.106877,40.769658,8.067322,25.558818
1975,37.491990,30.854471,7.729391,25.940314
1976,49.160841,22.554192,8.417637,37.481804
1977,44.120972,28.999278,7.776730,33.315323
1978,102.151770,29.750801,11.158565,75.591544
1979,52.486763,30.387494,11.600774,38.324341
1980,43.729693,17.069220,8.997868,31.294774
1981,6.099827,10.385425,8.499894,2.802484
1982,-5.029976,10.241136,6.103748,-4.626826
1983,64.655237,12.246847,8.847058,43.956239
1984,45.581223,13.216341,9.484117,25.303328
1985,30.378114,19.028251,9.952633,10.787842
1986,69.250919,30.339422,13.067509,33.643617
1987,32.602968,27.603440,14.426597,8.722335
1988,46.342932,51.814053,14.017255,17.273562
1989,23.201181,47.997704,11.638440,1.269686
1990,27.861422,46.632791,10.703570,3.729329
1991,15.047095,34.997942,11.262513,-3.791727
1992,12.343430,21.480017,9.691610,-3.263561
1993,29.011918,2.570040,9.720629,9.179639
1994,7.267800,-1.238212,9.964798,-10.726580
1995,-1.132616,-7.099733,8.655357,-11.899133
1996,-4.534017,-7.624857,8.473733,-11.789543
1997,17.798246,-8.392392,10.805392,0.564659
1998,12.891308,-10.225125,13.423430,-13.087222
1999,-1.796093,-11.118958,12.682863,-32.878464
2000,9.551425,-12.755666,14.306454,-21.466057
2001,20.230263,-14.391862,14.123144,-9.763681
2002,-5.245236,-15.527556,11.982196,-23.023733
2003,39.526096,-11.298530,12.375270,10.168882
2004,16.660061,-13.371878,10.414957,-5.307084
2005,-9.256730,-14.817069,8.027128,-22.554778
2006,-31.597090,-18.323994,7.015388,-38.453020
2007,-37.447949,-20.772169,5.346289,-39.642025
2008,-37.964389,-25.938409,3.297160,-36.967672
2009,-26.174004,-29.291738,5.385274,-25.279548
2010,-45.820812,-32.902537,3.582000,-36.098534
2011,-29.084392,-34.551850,3.878381,-20.664081
2012,-29.630438,-35.417067,3.844855,-24.598411
2013,-19.828286,-35.471257,1.740803,-6.991865
2014,-23.959336,-33.338773,2.741441,-9.733343
2015,-18.057218,-32.640561,3.166685,-2.741881
2016,-19.187122,-31.149423,2.410546,0.846311
2017,-14.653289,-29.873691,1.087182,1.996440
2018,-40.350423,-30.433624,2.710810,-30.888106
2019,-33.074965,-30.811309,2.186639,-6.134928
2020,-29.979214,-31.695432,0.624236,1.451347
2021,-30.774046,-31.699206,0.808278,8.441196
2022,-31.310565,-31.704519,1.166837,18.560761
2023,-31.569097,-31.704519,1.863840,30.026700
