"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.166258,0.441125,0.183670,0,0.000321,0.060096
2001,0.175737,0.423093,0.191934,0,0.000292,0.062924
2002,0.175946,0.409441,0.193745,0,0.000334,0.072854
2003,0.240059,0.395958,0.195873,0,0.000221,0.086726
2004,0.184010,0.388958,0.194941,0,0.000275,0.101762
2005,0.154988,0.393901,0.187220,0,0.000232,0.104680
2006,0.233046,0.397677,0.190738,0,0.000240,0.098031
2007,0.195249,0.400796,0.170963,0,0.000287,0.108949
2008,0.171573,0.395473,0.171778,0,0.000261,0.106454
2009,0.168481,0.355094,0.164981,0,0.000190,0.106160
2010,0.163699,0.366942,0.186623,0,0.000206,0.132045
2011,0.136206,0.349736,0.156505,0,0.000168,0.152893
2012,0.106772,0.323358,0.146170,0,0.000172,0.162403
2013,0.135615,0.315748,0.137872,0,0.000132,0.172761
2014,0.107488,0.314641,0.118420,0,0.000147,0.192132
2015,0.076458,0.320142,0.119133,0,0.000175,0.200401
2016,0.088479,0.320600,0.121149,0,0.000186,0.195352
2017,0.066128,0.318624,0.115784,0,0.000171,0.230041
2018,0.067582,0.321844,0.112355,0,0.000142,0.218503
2019,0.038071,0.322697,0.104320,0,0.000161,0.240516
2020,0.033516,0.273810,0.083613,0,0.000161,0.244246
2021,0.044638,0.277233,0.085301,0,0.000153,0.274640
2022,0.043848,0.312469,0.060948,0,0.000140,0.292795
2023,0.029128,0.315262,0.058689,0,0.000184,0.300619
