"Year","Total"
1959,10.991355
1960,11.873904
1961,12.528452
1962,14.164804
1963,15.108601
1964,16.907179
1965,17.844806
1966,19.461588
1967,21.969915
1968,24.140614
1969,26.290996
1970,28.734026
1971,31.474938
1972,35.871514
1973,40.244865
1974,39.309715
1975,43.454062
1976,56.100035
1977,61.129991
1978,71.027627
1979,75.765808
1980,83.514630
1981,75.051899
1982,75.384833
1983,83.138061
1984,84.864935
1985,84.733965
1986,94.333396
1987,98.206198
1988,113.093379
1989,123.126425
1990,124.258000
1991,133.631000
1992,142.432000
1993,154.046000
1994,161.564000
1995,170.064000
1996,178.059000
1997,190.782000
1998,200.546000
1999,208.023000
2000,226.934000
2001,231.431000
2002,238.567000
2003,249.129000
2004,259.367000
2005,266.888000
2006,276.536000
2007,280.076000
2008,266.885000
2009,253.033000
2010,270.715000
2011,276.774000
2012,273.282000
2013,274.576000
2014,276.960000
2015,276.263000
2016,280.188000
2017,285.730000
2018,283.897000
2019,274.445000
2020,272.202197
2021,283.570918
2022,273.668823
2023,261.152584
