"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,17.342994,13.167903,17.627248,7.789298
1851,14.150624,9.968865,14.460379,4.567359
1852,13.183292,8.993068,13.503819,3.558330
1853,12.985802,8.793417,13.315306,3.318338
1854,13.820425,9.628003,14.157769,4.110715
1855,15.634764,11.444431,15.978960,5.880903
1856,14.240905,10.053943,14.591037,4.443772
1857,16.167766,11.985494,16.522991,6.327911
1858,15.736917,11.559957,16.095512,5.854816
1859,17.718957,13.547530,18.079495,7.795197
1860,13.742418,9.360128,13.861022,3.783813
1861,16.109216,11.687940,16.166191,6.089348
1862,15.632200,11.197624,15.685437,5.573640
1863,14.678644,10.228129,14.732211,4.585569
1864,16.334808,11.862603,16.385115,6.208355
1865,16.657167,12.158471,16.700036,6.495393
1866,15.750290,11.220853,15.781398,5.553635
1867,17.417777,12.854741,17.434008,7.186606
1868,17.048885,12.450455,17.047566,6.783859
1869,18.802512,14.167222,18.781408,8.504400
1870,16.331547,10.783042,15.417306,5.966274
1871,19.005534,13.180031,17.921100,8.418260
1872,17.067791,11.038460,15.949355,6.373125
1873,19.042138,12.800111,17.893840,8.261001
1874,19.274948,12.803482,18.082243,8.414559
1875,20.166546,13.451973,18.914264,9.238923
1876,23.067775,16.100459,21.743055,12.076654
1877,20.766783,13.540568,19.359257,9.715133
1878,21.782150,14.294327,20.284380,10.673452
1879,19.919702,12.169976,18.326265,8.757436
1880,22.063106,13.886816,20.221506,11.038166
1881,22.653669,14.130216,20.672471,11.567614
1882,22.665760,13.811485,20.566032,11.522071
1883,25.026366,15.846617,22.808583,13.824272
1884,24.362852,14.862430,22.025843,13.099826
1885,25.129910,15.314677,22.672905,13.813536
1886,28.449421,18.326449,25.872640,17.075193
1887,25.837649,15.414961,23.142154,14.402012
1888,26.949123,16.235440,24.136930,15.449586
1889,26.661462,15.666275,23.735026,15.095900
1890,29.517770,16.214922,24.810263,17.621935
1891,30.527532,16.365439,25.719814,18.102395
1892,30.932221,16.123835,26.042430,18.228986
1893,30.420030,14.992575,25.425046,17.493548
1894,31.771973,15.728599,26.648455,18.646243
1895,31.561000,14.905225,26.292241,18.252546
1896,36.990828,19.729431,31.565104,23.513280
1897,39.837866,21.980483,34.247225,26.201997
1898,38.922855,20.482603,33.163450,25.141855
1899,42.816295,23.809222,36.887320,28.901595
1900,38.094755,18.192603,31.677368,24.354278
1901,41.315264,20.728714,34.711637,27.360480
1902,40.176896,18.964827,33.270292,26.043565
1903,39.286800,17.480541,31.867090,24.985512
1904,45.264433,22.889814,37.800425,30.802002
1905,45.334306,22.410087,37.569374,30.724619
1906,41.852516,18.391045,34.468201,27.096965
1907,44.521850,20.541776,36.695913,29.620252
1908,47.699637,23.220637,39.946027,32.653824
1909,50.075119,25.116317,41.798949,34.882929
1910,49.466162,24.333870,41.251034,34.020496
1911,49.086608,23.609717,39.976365,33.530546
1912,49.691095,23.851321,41.056073,33.990708
1913,48.255393,22.060211,40.064851,32.403537
1914,49.369945,22.829102,39.410607,33.362625
1915,50.523775,23.649948,40.887895,34.355386
1916,54.336167,27.144268,44.154351,38.009567
1917,53.329447,25.836403,44.511848,36.851083
1918,55.709654,27.921512,46.435851,39.076120
1919,52.412274,24.339476,42.624924,35.625365
1920,55.720024,24.598374,43.764062,38.697483
1921,57.892885,25.523461,47.299382,40.171730
1922,62.008107,28.740672,51.246792,43.927879
1923,66.634383,32.572264,56.418052,48.298372
1924,65.877035,31.069731,56.889059,47.340895
1925,64.628856,29.109527,55.847457,45.935238
1926,65.063114,28.852278,57.260259,46.249206
1927,67.542432,30.653171,59.630867,48.639124
1928,67.526054,29.962873,59.579022,48.557050
1929,68.936328,30.700143,61.823148,49.924785
1930,68.543950,28.470746,60.389059,49.468690
1931,68.245591,27.085497,61.374052,48.831777
1932,70.792107,28.685969,63.682995,51.184101
1933,70.806360,27.791806,63.942076,51.058646
1934,74.778539,30.873120,68.815709,54.927061
1935,69.772966,24.983900,63.018308,49.821093
1936,68.908152,23.251011,62.941145,48.898168
1937,71.457380,24.922894,64.411178,51.409218
1938,78.424183,31.001031,71.737566,58.352681
1939,73.508853,25.186153,67.027970,53.427605
1940,74.988523,25.912358,68.703041,54.173779
1941,73.670106,23.727954,66.960699,52.778308
1942,76.078636,25.267823,69.422687,55.107036
1943,80.428244,28.751005,73.833484,59.396261
1944,77.032339,24.487465,70.638219,55.954116
1945,73.550367,20.135512,67.562401,52.421764
1946,77.594250,23.308902,69.324859,56.425087
1947,74.005325,18.849814,67.379531,52.808279
1948,76.315074,20.292588,66.623391,55.102456
1949,73.684359,16.798634,64.939783,52.467124
