"Year","Total"
1959,25.568708
1960,37.358599
1961,36.508758
1962,37.428423
1963,41.304935
1964,47.519079
1965,53.718388
1966,64.103362
1967,67.880946
1968,82.329563
1969,83.038745
1970,91.787455
1971,101.627830
1972,106.015193
1973,129.475309
1974,143.775405
1975,139.213971
1976,156.490424
1977,163.806431
1978,162.288688
1979,163.137301
1980,120.695339
1981,113.273214
1982,138.132329
1983,150.028202
1984,150.400527
1985,160.485793
1986,148.304881
1987,159.340088
1988,175.961988
1989,191.114478
1990,211.074598
1991,223.045668
1992,228.193818
1993,236.992517
1994,264.821932
1995,270.875345
1996,276.620340
1997,269.262883
1998,305.641632
1999,374.452271
2000,367.213346
2001,389.909062
2002,397.031435
2003,410.966721
2004,442.119383
2005,466.784325
2006,501.018326
2007,507.774758
2008,528.535501
2009,543.412860
2010,561.496171
2011,576.146213
2012,599.120778
2013,609.838964
2014,644.150671
2015,641.911096
2016,644.683594
2017,696.399856
2018,689.782865
2019,735.347398
2020,756.606369
2021,779.755609
2022,800.746610
2023,817.879906
