"Year","Total"
1959,849.738987
1960,884.701553
1961,912.372980
1962,957.589258
1963,1026.973673
1964,1092.213475
1965,1158.638825
1966,1223.580879
1967,1279.439050
1968,1315.395576
1969,1369.898466
1970,1440.773139
1971,1528.954784
1972,1608.655046
1973,1676.593099
1974,1740.436772
1975,1829.451728
1976,1899.910653
1977,1964.533911
1978,2032.001975
1979,2048.854886
1980,2129.468486
1981,2088.922588
1982,2128.305165
1983,2158.492393
1984,2177.659143
1985,2348.535608
1986,2348.927978
1987,2357.920336
1988,2436.935512
1989,2404.825517
1990,2536.247742
1991,2406.755722
1992,1966.504811
1993,1866.729113
1994,1647.664601
1995,1619.727116
1996,1586.822085
1997,1482.244511
1998,1465.253459
1999,1494.178837
2000,1479.142483
2001,1515.647133
2002,1506.787948
2003,1537.018309
2004,1543.957081
2005,1562.576897
2006,1623.001934
2007,1623.781287
2008,1652.064514
2009,1545.034394
2010,1632.783158
2011,1685.909605
2012,1701.268292
2013,1640.437428
2014,1639.959073
2015,1638.675263
2016,1634.884975
2017,1666.121206
2018,1712.494428
2019,1705.030917
2020,1632.929312
2021,1711.993315
2022,1802.189924
2023,1815.924704
