"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,25.205462,31.830707,19.295027,22.578557
1851,23.916943,29.548914,18.326009,21.577186
1852,23.865830,28.303850,18.555705,21.766395
1853,23.545157,26.710157,18.471250,21.661788
1854,22.962325,24.823124,18.081877,21.276042
1855,21.940801,22.505277,17.211090,20.302114
1856,21.860303,21.174916,17.244872,20.270311
1857,21.147765,19.303528,16.617522,19.607933
1858,20.566325,17.672498,16.096685,19.078265
1859,20.181642,16.279665,15.752745,18.747222
1860,21.454882,16.196785,16.688274,19.556856
1861,21.007434,14.646290,16.112916,18.913055
1862,20.493631,13.112064,15.481243,18.252289
1863,19.857744,11.509870,14.733127,17.507545
1864,19.827296,10.552430,14.588326,17.380550
1865,19.615334,9.457040,14.263183,17.162872
1866,19.238638,8.245759,13.776457,16.781926
1867,19.840084,8.073917,14.274834,17.386046
1868,19.262234,6.781917,13.591755,16.808893
1869,19.196612,6.045490,13.426618,16.743454
1870,19.025137,4.884991,12.820849,16.031026
1871,19.113842,4.279992,12.728186,15.895165
1872,19.621746,4.210962,13.087002,16.231264
1873,19.686196,3.794035,13.027169,16.146772
1874,19.684730,3.385060,12.923478,16.011973
1875,19.294771,2.627967,12.448623,15.516051
1876,19.526775,2.525962,12.609656,15.653231
1877,19.264909,1.958848,12.285575,15.305371
1878,19.185767,1.585816,12.149384,15.148148
1879,19.055988,1.173140,11.965745,14.947764
1880,18.642688,1.648983,12.576533,15.995339
1881,17.809202,1.170795,12.147259,15.881498
1882,17.124986,0.748409,11.813396,15.786894
1883,16.273986,0.133883,11.282372,15.462153
1884,15.880289,-0.041586,11.182052,15.548660
1885,15.498610,-0.216836,11.072388,15.620072
1886,14.888408,-0.622037,10.715295,15.425587
1887,15.174309,-0.143043,11.238660,16.094267
1888,14.418756,-0.713124,10.708993,15.696796
1889,14.238707,-0.599174,10.736876,15.844272
1890,14.749359,-0.914315,10.342666,15.449146
1891,15.813568,-0.056316,11.197074,16.195246
1892,16.867554,0.907976,12.086144,17.035841
1893,17.468706,3.192040,12.579318,17.456102
1894,18.039557,6.911330,13.127599,17.864492
1895,18.175345,10.152394,13.308747,17.820194
1896,18.922398,13.966289,14.131975,18.403649
1897,19.103363,17.173754,14.405089,18.435013
1898,19.313823,20.205568,14.714880,18.508916
1899,19.729248,22.784474,15.224250,18.797896
1900,29.632050,26.795308,18.344219,18.050806
1901,31.147408,27.424600,18.941744,15.507953
1902,31.891969,28.011243,19.073721,13.339598
1903,33.606464,29.631684,19.168436,12.587306
1904,34.904949,30.945521,19.502006,11.721942
1905,35.717478,31.837888,20.123091,10.624611
1906,36.274369,32.522543,19.842502,9.498370
1907,37.414276,33.807728,20.662945,9.143549
1908,37.666286,34.186842,20.669980,8.062046
1909,38.141617,32.699148,21.108707,7.348482
1910,27.429620,27.656898,19.315802,6.849848
1911,24.427632,20.499237,18.099171,7.662450
1912,20.921513,16.541384,17.995076,6.814747
1913,18.203155,14.691028,16.805376,6.383494
1914,15.370297,12.009456,16.048210,5.611233
1915,13.433909,9.604956,16.266365,5.775527
1916,11.453078,6.698818,15.420164,5.709098
1917,9.421390,3.439617,15.099344,5.428766
1918,8.550237,1.045229,14.525525,6.165230
1919,6.551818,-2.647167,14.334887,5.646810
1920,8.632604,-5.659048,12.716095,5.208156
1921,9.924017,-8.248324,12.753871,5.537073
1922,9.516251,-12.384540,14.137544,4.387860
1923,10.142465,-15.492858,13.247778,4.349864
1924,9.722937,-19.687368,12.787726,3.316067
1925,10.903771,-22.241982,13.068096,3.891901
1926,10.821441,-25.946176,12.449869,3.250518
1927,10.782309,-29.497288,12.792490,2.689523
1928,11.790422,-31.960559,12.969534,3.208528
1929,12.013853,-35.131971,13.452303,2.973080
1930,13.459814,-38.149861,13.087258,3.090291
1931,13.278666,-41.901614,13.870512,2.249769
1932,14.744815,-43.694372,13.848894,3.211569
1933,15.204574,-46.299806,14.714734,3.222488
1934,16.040882,-48.329992,13.551377,3.646449
1935,15.622453,-51.435342,14.362624,2.899580
1936,15.895751,-53.717648,14.424142,2.865688
1937,16.251232,-55.826170,14.534758,2.932263
1938,17.406455,-57.056504,15.310427,3.816532
1939,17.030052,-59.716458,15.714786,3.185811
1940,13.116680,-62.080911,16.278566,3.398910
1941,11.889314,-63.858061,15.262172,3.858632
1942,11.149405,-65.531556,14.634309,4.365070
1943,10.870135,-66.863310,13.109352,5.162796
1944,9.756463,-69.101355,14.136188,5.010996
1945,8.668255,-71.366000,12.753798,4.766168
1946,7.641235,-73.609577,12.740571,4.502543
1947,7.441657,-75.058835,12.595806,4.996450
1948,6.889896,-76.819241,12.166605,5.085559
1949,6.569589,-78.231200,11.758839,5.376480
1950,-2.823698,-80.260396,12.195331,3.854308
1951,-10.891790,-81.512825,10.831993,4.284169
1952,-18.367339,-82.442675,10.865482,4.834355
1953,-25.624037,-83.006015,7.127359,5.922123
1954,-33.349398,-84.256648,8.228868,6.437831
1955,-39.991754,-84.652030,6.443400,7.532268
1956,-46.726296,-83.059216,5.986646,8.508797
1957,-52.432646,-80.047005,1.648360,9.545343
1958,-59.245488,-78.090209,0.661645,8.640042
1959,-64.276380,-77.795330,-3.262499,8.915318
1960,-62.349519,-79.743626,-2.018314,6.762095
1961,-59.997267,-81.785023,-3.514399,4.334768
1962,-57.477278,-81.982879,0.165503,3.001805
1963,-52.099882,-82.104084,0.562900,3.260704
1964,-47.106216,-82.105843,-0.387321,2.731072
1965,-46.766233,-82.433991,2.361961,2.247571
1966,-47.556961,-82.722018,0.466794,0.486872
1967,-46.947785,-80.940508,-0.733460,0.356837
1968,-45.351600,-81.890510,-0.166052,-0.432975
1969,-46.886266,-83.124472,-0.164074,-1.741829
1970,-45.260952,-85.149491,0.457560,-1.124665
1971,-41.452884,-86.496195,-2.341186,0.748189
1972,-40.820221,-87.458434,-2.053342,-0.196427
1973,-39.445964,-84.251628,-2.836522,0.947437
1974,-37.078398,-81.878126,-1.747618,1.780924
1975,-34.984275,-83.448296,-3.769193,3.613913
1976,-34.149469,-82.707912,-3.498241,2.551573
1977,-32.901694,-84.358177,-2.665633,3.166832
1978,-32.662472,-87.226540,-1.389206,1.806499
1979,-32.174940,-88.904065,-1.449588,1.175888
1980,-31.780693,-90.151181,-0.648528,0.302024
1981,-31.221127,-91.146433,-1.292476,-0.269744
1982,-30.470154,-92.234312,-4.674055,-0.471080
