"Year","Total"
1959,10.319230
1960,11.531776
1961,11.755131
1962,11.198292
1963,12.216528
1964,13.091956
1965,13.685286
1966,14.000272
1967,13.626782
1968,13.473102
1969,14.257049
1970,14.179986
1971,15.049003
1972,16.189595
1973,18.200338
1974,18.759971
1975,18.270303
1976,19.248513
1977,20.313414
1978,18.024024
1979,16.494433
1980,17.478875
1981,16.560961
1982,18.270238
1983,17.998090
1984,19.336614
1985,21.857954
1986,22.945982
1987,24.165261
1988,25.449338
1989,25.453206
1990,25.497218
1991,26.175921
1992,28.162451
1993,27.754739
1994,27.895361
1995,28.000621
1996,29.300678
1997,31.274491
1998,29.853020
1999,31.460674
2000,32.241038
2001,34.378748
2002,34.541834
2003,36.243230
2004,35.836712
2005,37.425184
2006,37.329749
2007,36.408522
2008,37.506353
2009,34.617448
2010,34.807764
2011,34.262130
2012,35.941319
2013,35.237914
2014,35.435069
2015,35.802200
2016,34.145528
2017,35.684560
2018,35.702511
2019,36.731820
2020,34.022757
2021,34.322606
2022,31.610089
2023,30.119236
