"Year","BLUE","H&C2023","OSCAR","LUCE"
1970,258.882851,68.118633,182.042359,230.794407
1971,252.564173,61.308246,174.005778,225.538912
1972,251.150602,62.887027,165.433520,225.238171
1973,251.228902,63.302415,172.014797,225.670633
1974,235.102868,52.352954,152.349523,209.953465
1975,231.035718,54.846672,150.811889,208.121429
1976,252.468140,67.122245,159.395761,232.579142
1977,250.904821,63.965306,154.614461,232.313025
1978,257.043047,68.052022,150.066301,239.364833
1979,226.859345,41.138513,114.522534,209.369754
1980,275.900629,95.632892,159.935725,256.830462
1981,271.368664,100.669426,156.805094,253.133669
1982,224.485805,62.911540,104.450637,208.606982
1983,229.389300,63.357998,104.760832,213.920039
1984,251.961628,81.585445,125.501050,236.483573
1985,262.173673,88.031264,132.409302,247.282884
1986,254.791189,83.920109,131.646494,241.982212
1987,243.207929,69.075377,123.112525,230.883003
1988,265.156022,88.143712,147.413822,253.232377
1989,239.785094,62.775972,122.844907,229.173380
1990,260.476105,104.334672,147.522753,259.369064
1991,230.618792,82.679552,126.519899,231.406039
1992,227.628418,75.504195,124.731170,233.195353
1993,211.699728,56.547941,111.440413,217.366763
1994,237.696577,81.342852,135.772671,237.670453
1995,204.584350,55.012029,106.828647,209.134158
1996,234.708146,88.635897,137.486910,237.121439
1997,203.208371,59.638305,102.760910,206.013017
1998,225.404407,87.320485,123.958836,227.494023
1999,241.410664,102.500583,137.248823,243.551979
2000,221.184835,127.191766,123.573676,210.901086
2001,262.881704,150.765063,149.453461,254.363380
2002,214.500086,130.680041,130.924796,201.200756
2003,214.010539,145.148554,136.777999,208.842687
2004,232.530814,128.257551,152.517444,228.710874
2005,230.584020,86.061534,148.004862,211.014157
2006,197.441272,90.116666,142.084277,179.746717
2007,177.619068,90.190056,128.592000,165.080860
2008,137.415865,73.403147,100.108138,127.955967
2009,110.914776,67.086008,82.871143,105.878022
2010,85.622184,54.199647,65.660346,104.335148
2011,137.444774,89.801452,103.382361,164.919461
2012,109.046576,52.678977,66.047264,138.836325
2013,120.786691,75.482064,71.047781,153.917385
2014,164.188603,135.551842,108.338178,197.349122
2015,142.859360,96.876416,76.547592,179.008567
2016,133.097548,98.943242,77.976662,170.827808
2017,143.741944,82.415415,71.707228,183.499129
2018,101.588870,43.322586,41.443687,140.715847
2019,99.272233,60.933639,53.953279,142.002644
2020,89.205649,50.669969,40.368853,134.896902
2021,85.726315,49.093020,34.819542,132.740455
2022,107.143054,73.138020,57.587344,156.284879
2023,104.724485,73.138020,51.707650,156.473538
