"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,8.303833,-0.290848,1.492420,12.265900
1851,6.291015,-0.297993,1.507003,10.338562
1852,5.712616,-0.290189,1.469484,9.786654
1853,5.782964,-0.293816,1.427678,10.286973
1854,5.069620,-0.272565,1.411996,8.993032
1855,5.015686,-0.283447,1.364290,8.536094
1856,4.995314,-0.271905,1.341830,8.082931
1857,4.804896,-0.271686,1.308341,7.696782
1858,4.764482,-0.272785,1.275915,7.574551
1859,4.765105,-0.267509,1.249607,7.434256
1860,5.339950,-0.266336,1.260343,7.554985
1861,5.537916,-0.267802,1.284379,7.309900
1862,5.748889,-0.261829,1.289435,7.554252
1863,6.142916,-0.263625,1.286027,7.393622
1864,6.277788,-0.249152,1.298851,7.400144
1865,6.816139,-0.255930,1.288922,7.993529
1866,7.039790,-0.245232,1.298448,7.760572
1867,6.646862,-0.252779,1.282620,7.742435
1868,6.706952,-0.240029,1.284085,7.412638
1869,6.777594,-0.241384,1.277857,7.464997
1870,7.400217,-0.232041,1.334246,7.609945
1871,7.630610,-0.234826,1.390341,7.937360
1872,7.990744,-0.229440,1.418481,7.784498
1873,8.497585,-0.239113,1.432697,7.877966
1874,8.934847,-0.222038,1.472452,8.130196
1875,9.000616,-0.232920,1.484836,7.956193
1876,8.866147,-0.245525,1.491358,7.904860
1877,9.138969,-0.252120,1.503742,7.599502
1878,9.698608,-0.249665,1.522172,7.759253
1879,9.422892,-0.251497,1.525360,7.442170
1880,10.322844,-0.266556,1.610914,8.390707
1881,10.839724,-0.289200,1.723656,8.444751
1882,11.021715,-0.303526,1.760552,8.742890
1883,11.390387,-0.273041,1.790743,8.749046
1884,11.716373,-0.245305,1.824672,9.484447
1885,11.201324,-0.265347,1.851639,9.080381
1886,11.258959,-0.265530,1.868310,8.806571
1887,11.843074,-0.105377,1.937706,8.717865
1888,11.906021,0.273994,2.090202,8.786712
1889,11.736598,0.620059,2.264096,8.694745
1890,13.077402,0.880972,2.522444,9.075325
1891,13.283429,1.284452,2.799992,9.585061
1892,13.849920,2.090752,3.094211,9.861216
1893,14.417510,3.182440,3.446102,9.866896
1894,14.584625,4.238772,3.784875,10.168443
1895,14.564656,5.445107,4.099503,10.137335
1896,14.752656,6.903526,4.466196,10.055445
1897,14.857007,8.611279,4.877700,9.703151
1898,15.096559,10.348418,5.316867,9.669919
1899,15.193216,11.968456,5.762519,9.987001
1900,16.497783,13.563981,6.369278,10.811292
1901,17.279424,15.162182,7.244131,11.150615
1902,18.023509,16.803177,7.861149,11.626202
1903,18.429260,18.508293,8.403054,12.291914
1904,19.002090,20.231142,8.865671,12.627207
1905,18.761256,21.930616,9.445865,12.334050
1906,19.379519,23.601216,9.990739,13.011011
1907,19.540295,25.394268,10.450681,12.598627
1908,19.997123,27.318528,10.902892,13.010058
1909,20.202746,29.284483,11.687024,12.697702
1910,21.736460,31.244027,12.582176,14.521788
1911,23.350892,33.306859,13.565667,15.647735
1912,24.354132,35.413000,14.045175,16.878179
1913,24.750686,37.526835,14.333861,16.590409
1914,25.489532,39.702481,14.518380,16.685746
1915,25.860512,41.862226,15.049074,17.103405
1916,25.926977,44.038422,15.985006,16.983409
1917,26.000880,46.272766,17.081312,16.987147
1918,26.013447,48.593214,18.028749,17.179324
1919,25.907484,50.839722,18.583735,17.161004
1920,29.977676,53.058237,19.595915,21.866532
1921,32.880883,55.453907,20.917116,23.585058
1922,35.848539,58.162189,21.970516,24.531652
1923,37.083344,61.198290,22.963937,25.449448
1924,38.639298,64.045144,24.026753,27.074029
1925,40.001940,66.692678,25.062676,27.029328
1926,40.691321,69.785790,25.979519,27.704493
1927,41.209484,73.619360,26.994776,28.408641
1928,42.676440,77.542038,28.086026,29.236851
1929,43.985184,81.132465,29.215673,30.148821
1930,55.375534,84.916608,31.496000,40.910245
1931,63.349497,88.993504,33.884672,46.005660
1932,65.446991,93.450247,35.148899,46.775357
1933,70.738393,97.927728,36.765639,50.663374
1934,73.217675,102.223841,38.339510,51.851059
1935,74.637109,106.434107,39.812951,52.763432
1936,75.772436,110.549548,41.063987,54.361266
1937,76.242307,113.761741,42.327664,54.568868
1938,78.674141,116.571955,43.394108,56.434174
1939,80.605435,120.524092,44.626567,56.195647
1940,117.257600,126.190102,49.873489,90.623068
1941,142.711554,132.015202,56.835052,108.392698
1942,158.934427,137.532051,59.847373,120.741954
1943,169.565157,144.608114,62.580387,123.749731
1944,173.393634,154.771061,65.498543,127.636612
1945,178.108652,164.832038,68.457700,131.251002
1946,186.493936,177.036492,72.242868,138.236345
1947,185.944299,191.141720,76.329657,140.355602
1948,191.143735,206.488494,79.386349,147.432032
1949,191.300225,222.167593,83.646042,146.126805
1950,160.818383,237.327942,81.354980,122.143067
1951,145.996440,252.255335,79.744395,115.423291
1952,143.517378,267.374025,81.402025,119.009541
1953,143.009950,281.858843,83.945757,122.333669
1954,145.027788,294.433654,87.157620,126.877908
1955,147.828770,305.273268,89.929472,133.854970
1956,151.450231,315.168047,92.006594,139.128785
1957,153.284429,323.756280,94.958312,139.433886
1958,162.063117,330.295420,97.006415,148.818123
1959,166.236743,316.897528,97.713421,152.213882
1960,171.765316,307.523734,98.324393,163.388092
1961,138.843176,320.876156,96.217959,125.772113
1962,117.340443,322.547966,95.756075,105.833687
1963,106.849934,342.505151,98.261885,98.287056
1964,99.753426,307.081012,95.553932,93.948661
1965,84.551270,310.885160,90.748157,81.737281
1966,65.628505,271.236723,86.648764,65.666977
1967,71.727453,335.893426,87.319166,73.637020
1968,81.492380,272.002902,88.041560,83.217208
1969,79.349782,264.770020,84.556290,82.967286
1970,76.402974,218.276498,80.960843,78.541211
1971,72.090226,212.776504,76.182181,75.062096
1972,69.471309,182.936998,73.624966,74.305590
1973,67.521328,148.972341,68.774782,72.843801
1974,62.177274,128.002170,63.726963,71.360467
1975,58.862453,109.474604,60.707277,72.500850
1976,60.388472,88.848373,57.318077,75.879938
1977,54.584513,54.867814,50.894352,73.803109
1978,65.750553,31.155065,49.109398,92.376035
1979,64.900615,12.291584,47.921346,92.980595
1980,57.537258,-14.678497,44.056889,85.625079
1981,52.846055,-20.815807,41.947560,84.454540
1982,50.869804,22.693057,44.758655,83.556677
1983,63.303807,53.204614,49.666546,102.724820
1984,67.077911,222.732472,61.785739,109.877131
1985,62.263378,291.734019,73.086541,107.188708
1986,48.713576,353.322964,76.712105,94.311287
1987,48.122793,326.802016,77.285741,96.962887
1988,44.219973,300.402493,74.476479,94.913245
1989,52.345699,243.424105,74.052848,102.101867
1990,123.651060,212.275269,76.885303,177.830042
1991,164.988491,190.389208,82.455645,225.447019
1992,153.424944,187.555433,83.966203,197.115029
1993,210.891889,183.926132,86.260270,229.159567
1994,307.573308,146.560696,97.425137,328.391423
1995,228.745718,130.952642,93.734573,231.547652
1996,174.984469,119.139687,81.882559,180.264037
1997,200.168753,116.526339,83.409824,194.430600
1998,229.167775,112.247190,82.570365,229.182650
1999,165.466423,106.307369,77.816875,182.327712
2000,193.404900,99.193457,75.968533,198.395414
2001,150.215023,93.786529,74.303941,143.584722
2002,114.408986,86.136646,72.006357,118.244901
2003,110.542587,79.341795,71.643841,117.946322
2004,89.658556,79.085681,69.850240,110.023252
2005,71.099957,81.199919,66.074268,109.826421
2006,46.552805,78.699276,64.466504,104.880534
2007,16.814316,72.697754,64.939490,114.131182
2008,99.699492,60.317794,61.427766,115.372545
2009,43.384655,50.524838,59.913691,-50.661578
2010,54.360789,41.301048,59.354675,-76.544771
2011,33.648894,34.059591,55.435477,-120.067924
2012,34.720394,34.257191,51.380822,-130.617789
2013,28.697474,41.202596,48.635167,-129.202350
2014,18.872568,42.657754,46.534485,-123.657142
2015,16.200889,36.091389,46.104918,-111.652779
2016,12.047892,32.927049,44.987728,-101.185574
2017,20.014527,26.826745,44.785878,-88.597462
2018,36.468305,20.752127,43.343984,-69.092964
2019,12.434150,20.507225,41.808109,-76.441006
2020,2.639582,21.700370,41.821043,-74.820419
2021,7.036859,19.126117,41.480400,-68.580151
2022,7.610165,20.560756,41.235755,-59.412016
2023,7.608040,20.193000,40.162496,-55.862736
