"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,1.278678,3.993053,3.211946,0.738484,3.797769,0.111032
2001,1.328843,4.105667,3.025519,0.772948,3.506179,0.120396
2002,1.336577,4.258987,3.148795,0.756243,3.670110,0.125502
2003,1.333287,4.417875,3.232253,0.745100,3.509445,0.121717
2004,1.259475,4.611315,3.161512,0.893522,3.510527,0.128693
2005,1.254042,4.484413,3.153303,0.904109,3.731144,0.128710
2006,1.214760,4.523088,3.134646,0.956248,3.614786,0.135492
2007,1.269971,4.644444,3.371631,0.906797,3.742179,0.162018
2008,1.206829,4.482764,3.331579,0.925633,3.818745,0.163813
2009,1.008282,4.372642,3.230191,0.863118,3.706696,0.202784
2010,1.033147,4.559361,3.296596,0.863221,3.511066,0.245536
2011,0.931414,4.565363,3.619829,0.885691,3.731371,0.284668
2012,0.883475,4.627780,3.579247,0.892299,3.753605,0.324632
2013,0.861613,4.599769,3.795865,0.967121,3.844038,0.328183
2014,0.819358,4.588763,3.954295,0.997025,3.730441,0.338006
2015,0.771877,4.600724,3.971968,0.940541,3.705249,0.479167
2016,0.769037,4.584622,3.802964,0.931486,3.714541,0.539728
2017,0.797777,4.538034,3.947007,0.924823,3.780402,0.549399
2018,0.651452,4.682481,4.236848,0.914263,3.675493,0.564068
2019,0.608956,4.667581,4.271553,0.915107,3.622810,0.558255
2020,0.526241,3.965753,4.150459,0.884696,3.654642,0.576268
2021,0.472454,4.130585,4.270619,0.831491,3.602499,0.613467
2022,0.385116,4.306535,4.457286,0.780253,3.732924,0.636991
2023,0.370708,4.351797,4.346180,0.798812,3.405814,0.676281
