"Year","Total"
1959,94.084603
1960,109.203087
1961,124.374897
1962,146.254985
1963,164.556239
1964,175.721076
1965,189.528379
1966,213.982260
1967,234.129742
1968,249.172160
1969,269.660969
1970,296.364546
1971,311.049181
1972,328.237476
1973,353.349131
1974,358.252934
1975,341.052459
1976,365.795463
1977,354.417634
1978,371.273837
1979,385.255527
1980,386.433006
1981,375.300134
1982,366.879032
1983,358.409081
1984,364.601058
1985,368.982391
1986,363.187621
1987,380.098578
1988,385.962261
1989,404.741934
1990,438.206988
1991,437.741207
1992,437.935972
1993,430.267189
1994,424.506017
1995,448.594855
1996,442.842070
1997,448.569827
1998,460.823137
1999,465.506296
2000,469.596920
2001,469.677724
2002,477.105485
2003,495.092294
2004,500.685650
2005,501.364070
2006,495.936888
2007,489.653140
2008,478.126154
2009,424.061139
2010,435.710329
2011,423.894323
2012,403.441336
2013,369.474688
2014,349.400335
2015,361.254335
2016,358.144354
2017,352.678609
2018,349.062123
2019,339.633548
2020,302.602424
2021,335.977801
2022,340.672310
2023,313.460637
