"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,5.921244,6.331355,-0.045910,4.858757
1851,5.911058,6.348869,-0.044591,4.835454
1852,5.906991,6.365724,-0.043015,4.816878
1853,5.906075,6.382138,-0.041403,4.803101
1854,5.906661,6.397857,-0.039754,4.790973
1855,5.907797,6.412953,-0.038106,4.780054
1856,5.909153,6.427462,-0.036384,4.770418
1857,5.910472,6.441385,-0.034661,4.762137
1858,5.910838,6.454649,-0.032903,4.754846
1859,5.911095,6.467363,-0.031107,4.748397
1860,5.889037,6.479491,-0.029385,4.734951
1861,5.878741,6.490996,-0.027480,4.727403
1862,5.871816,6.501951,-0.025428,4.724508
1863,5.866467,6.512284,-0.023340,4.727036
1864,5.861814,6.522030,-0.021251,4.729308
1865,5.857637,6.531227,-0.019163,4.733009
1866,5.853680,6.539800,-0.017001,4.736196
1867,5.849723,6.547824,-0.014876,4.738981
1868,5.845802,6.555299,-0.012677,4.741363
1869,5.841772,6.562151,-0.010479,4.743414
1870,9.452644,6.568453,0.016268,7.221854
1871,11.429079,6.574169,0.026308,8.830130
1872,12.773913,6.579335,0.014583,10.127992
1873,13.794044,6.583915,0.003554,11.104118
1874,14.619800,6.587945,-0.005313,11.973512
1875,15.317645,6.591389,-0.012604,12.747056
1876,15.924404,6.594284,-0.018796,13.436767
1877,16.461326,6.596629,-0.024292,14.052136
1878,16.941567,6.598388,-0.029202,14.601516
1879,17.373955,6.599633,-0.033599,15.092346
1880,17.679972,6.600293,-0.038106,15.442075
1881,17.981300,6.600366,-0.041770,15.767658
1882,18.266432,6.599927,-0.044518,16.060265
1883,18.531559,6.598937,-0.046936,16.324073
1884,18.776168,6.597398,-0.049098,16.560437
1885,18.999709,6.595273,-0.051040,16.583081
1886,19.204343,6.592635,-0.052762,16.605981
1887,19.390181,6.589448,-0.054227,16.628881
1888,19.559458,6.585710,-0.055436,16.651634
1889,19.712943,6.581423,-0.056426,16.674058
1890,18.710509,6.576624,-0.064963,15.886591
1891,18.228180,6.571237,-0.067747,15.440169
1892,17.938431,6.565338,-0.063167,15.096010
1893,17.740978,6.558890,-0.058587,14.860085
1894,17.594748,6.551928,-0.054594,14.651493
1895,17.478526,6.544417,-0.050930,14.475328
1896,17.382822,6.536393,-0.047376,14.319425
1897,17.299942,6.527782,-0.043931,14.181402
1898,17.226516,6.518696,-0.040634,14.059134
1899,17.161187,6.509059,-0.037300,13.950827
1900,17.012538,6.498873,-0.034478,13.766454
