"Year","Total"
1959,52.078931
1960,48.865574
1961,53.606856
1962,59.975850
1963,58.742903
1964,64.323808
1965,71.020450
1966,77.617014
1967,86.393976
1968,97.017236
1969,96.736943
1970,116.766485
1971,128.458554
1972,144.716261
1973,154.957336
1974,172.665693
1975,181.053621
1976,197.745948
1977,194.829091
1978,199.513877
1979,202.746548
1980,213.911907
1981,206.096203
1982,208.598534
1983,203.435147
1984,197.667200
1985,199.931395
1986,189.112664
1987,189.508050
1988,197.457895
1989,224.885414
1990,230.174104
1991,240.009191
1992,248.411675
1993,239.808916
1994,252.047030
1995,265.779230
1996,253.237162
1997,265.567174
1998,274.317807
1999,297.773488
2000,310.071580
2001,311.808860
2002,331.950080
2003,336.332565
2004,353.011408
2005,368.338818
2006,359.654340
2007,367.400554
2008,335.888905
2009,296.501387
2010,282.938447
2011,283.800597
2012,278.061203
2013,251.941748
2014,254.181207
2015,270.740241
2016,259.624905
2017,273.579840
2018,268.589916
2019,250.596071
2020,211.842607
2021,229.069377
2022,234.657023
2023,221.615650
