"Year","Coal","Oil","Gas","Cement","Flaring"
2000,185.796849,102.650116,46.609504,3.620856,7.953139
2001,190.082209,103.173960,49.326198,3.540903,8.172570
2002,191.146650,105.452246,50.589115,3.487738,8.007492
2003,195.386038,109.665563,49.911895,3.584016,7.158265
2004,202.225430,113.747734,52.829850,3.554645,6.858228
2005,200.715376,116.503594,54.458329,3.664127,6.914756
2006,204.400539,117.364382,55.777493,3.888062,7.046390
2007,203.558727,119.320289,61.006299,3.971547,7.505044
2008,204.687574,122.930991,61.744187,3.862908,7.483678
2009,206.066484,122.373359,63.086610,3.829017,7.969318
2010,200.552326,124.551270,64.246499,3.548615,8.193741
2011,192.140628,129.802212,66.459925,3.495532,7.882601
2012,189.154386,133.681341,67.699748,3.518237,8.294524
2013,176.363094,137.311270,69.641851,3.294420,8.854610
2014,168.146441,137.536304,70.590834,3.137567,9.280621
2015,174.204763,137.951939,71.370400,3.076156,10.835429
2016,179.561630,137.698989,73.803862,2.930855,12.447276
2017,176.932462,139.837779,75.229447,3.019062,14.868708
2018,169.401401,144.033654,78.345897,2.941785,16.938527
2019,164.952224,143.362188,80.304752,3.039547,20.211970
2020,156.681283,135.404460,83.221253,2.820162,17.284181
2021,151.893845,134.679129,80.065501,2.900471,15.414162
2022,146.069490,133.806902,80.412439,2.818200,17.139768
2023,142.666500,141.596459,74.635724,2.818200,17.139768
