"Year","Coal","Oil","Gas","Cement","Flaring"
2000,5.327509,210.117822,120.447863,12.028691,19.291461
2001,4.140320,227.453792,127.653760,13.672998,16.988193
2002,4.664272,217.927392,143.815664,14.068008,16.556099
2003,5.188224,210.789920,158.468000,14.639176,21.881400
2004,4.994073,221.765430,178.899940,15.760903,20.699036
2005,6.085904,222.489072,200.160656,16.125136,21.923557
2006,5.983312,233.363824,221.540096,17.252584,22.878510
2007,6.576927,225.180052,236.520213,19.400127,20.097440
2008,5.858696,233.944801,246.874968,21.605746,20.251290
2009,4.393165,232.918340,261.065372,24.560908,20.475075
2010,5.448333,227.532939,277.220124,30.103585,21.191190
2011,5.312800,223.694528,293.262896,32.914782,20.961208
2012,4.129328,247.162448,292.273616,34.824161,20.731225
2013,4.118336,253.328960,294.933680,36.717703,20.740286
2014,3.590720,247.799984,335.006848,34.968119,22.785000
2015,4.301511,227.053111,356.768957,31.230335,22.557183
2016,3.451488,200.124016,380.704256,30.618067,29.785767
2017,4.708240,229.058624,399.504240,29.908465,33.220287
2018,4.459088,231.769984,390.842544,30.272338,32.438911
2019,4.847472,239.918720,429.314544,35.303221,25.963442
2020,5.576608,221.965120,465.331664,38.807839,24.925138
2021,5.180919,228.619959,476.039985,37.418714,32.496033
2022,5.347533,231.812956,496.507476,34.703587,32.375058
2023,5.443789,225.849925,509.266874,38.927588,38.391730
