"Year","Total"
1959,58.286969
1960,63.052287
1961,65.239903
1962,63.743714
1963,66.292194
1964,74.200126
1965,75.167897
1966,80.844570
1967,90.005531
1968,93.887231
1969,102.176189
1970,113.950680
1971,126.182311
1972,132.260755
1973,144.040503
1974,154.701449
1975,164.103598
1976,183.693492
1977,192.337707
1978,222.047578
1979,240.175366
1980,267.644671
1981,283.586707
1982,303.763703
1983,277.430425
1984,276.491046
1985,287.181095
1986,293.219279
1987,305.790150
1988,305.418150
1989,323.216262
1990,316.745775
1991,329.827499
1992,332.453266
1993,337.721928
1994,351.533911
1995,330.905297
1996,341.543944
1997,362.462459
1998,381.101784
1999,386.040019
2000,391.438932
2001,407.484682
2002,410.301049
2003,435.968675
2004,438.588437
2005,463.431863
2006,474.519064
2007,473.595260
2008,472.981288
2009,460.293543
2010,456.408968
2011,483.301611
2012,501.488614
2013,495.415111
2014,484.044533
2015,479.433704
2016,478.827740
2017,464.406462
2018,468.413278
2019,468.235663
2020,428.940285
2021,446.834111
2022,465.335664
2023,482.623430
