"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,1.537732,3.427035,3.648302,0.868921,0.054139,0.054690
2001,1.629163,3.411177,3.630715,0.914326,0.042882,0.062240
2002,1.495111,3.384876,3.583229,0.885797,0.050306,0.071706
2003,1.595334,3.411657,3.593131,0.888513,0.033699,0.085110
2004,1.557021,3.505730,3.671565,0.796375,0.050256,0.105401
2005,1.585668,3.606357,3.577917,0.807349,0.050747,0.137620
2006,1.731561,3.570843,3.393368,0.741648,0.047052,0.157541
2007,1.630409,3.471033,3.430819,0.615670,0.051684,0.175477
2008,1.513200,3.398931,3.521971,0.509505,0.052009,0.216121
2009,1.248102,3.237479,3.284053,0.666623,0.052560,0.257876
2010,1.277311,3.185235,3.545742,0.595818,0.035885,0.292040
2011,1.287735,3.121196,2.949066,0.657377,0.056526,0.358330
2012,1.624515,3.037218,2.768355,0.666887,0.052406,0.415956
2013,1.565728,2.982773,2.747727,0.664769,0.046129,0.549055
2014,1.264299,2.985530,2.521998,0.596598,0.057423,0.659918
2015,0.998363,3.066754,2.593637,0.654418,0.061050,0.838670
2016,0.508220,3.133725,2.876339,0.663319,0.051758,0.843399
2017,0.411216,3.175321,2.816236,0.646640,0.056351,0.990911
2018,0.347095,3.136446,2.838552,0.594669,0.051845,1.119878
2019,0.248086,3.073522,2.803455,0.511616,0.056300,1.223667
2020,0.226030,2.365893,2.633234,0.456157,0.064941,1.350022
2021,0.231273,2.453830,2.769361,0.414945,0.050852,1.247188
2022,0.210194,2.650037,2.552292,0.429816,0.052936,1.372567
2023,0.183723,2.688409,2.286127,0.365667,0.048577,1.377632
