"Year","Total"
1959,261.890109
1960,296.602184
1961,316.220040
1962,333.476882
1963,338.581910
1964,369.539687
1965,364.230379
1966,381.139071
1967,405.496124
1968,419.073377
1969,444.280084
1970,461.337711
1971,494.426706
1972,514.987866
1973,539.771643
1974,521.906370
1975,483.271539
1976,524.454592
1977,508.118872
1978,529.908417
1979,533.253999
1980,512.217523
1981,460.490651
1982,441.564163
1983,424.455090
1984,413.169048
1985,406.314266
1986,391.447766
1987,388.851629
1988,386.506058
1989,400.328719
1990,393.717293
1991,417.859106
1992,407.315941
1993,387.699195
1994,380.793058
1995,385.809882
1996,402.156455
1997,394.845066
1998,413.258606
1999,412.020823
2000,406.139197
2001,410.445447
2002,405.946544
2003,411.964877
2004,413.379489
2005,415.795062
2006,406.156948
2007,396.010337
2008,389.093765
2009,370.875856
2010,376.457213
2011,354.374794
2012,356.439468
2013,358.702828
2014,326.842383
2015,331.490218
2016,334.199870
2017,337.101426
2018,321.939695
2019,315.015306
2020,280.490017
2021,305.607240
2022,293.501650
2023,272.475817
