"Year","Total"
1959,26.034431
1960,29.749520
1961,31.701867
1962,36.889884
1963,40.667913
1964,43.146926
1965,44.293371
1966,50.078411
1967,49.026427
1968,53.272676
1969,59.342587
1970,62.039320
1971,57.000677
1972,59.575410
1973,59.193932
1974,55.009453
1975,55.708654
1976,60.056954
1977,61.765400
1978,61.028311
1979,62.907833
1980,60.286207
1981,51.715873
1982,53.615454
1983,50.098160
1984,50.780699
1985,59.980549
1986,58.801842
1987,58.242298
1988,55.013981
1989,48.685135
1990,53.464067
1991,64.092515
1992,58.314537
1993,60.561739
1994,64.660815
1995,61.640870
1996,74.886528
1997,65.424878
1998,61.226402
1999,58.641540
2000,54.295985
2001,55.886140
2002,55.544427
2003,60.637654
2004,55.092881
2005,51.527093
2006,59.492207
2007,54.698269
2008,51.245733
2009,48.839775
2010,49.179470
2011,44.226736
2012,39.853304
2013,41.755341
2014,37.564830
2015,35.102398
2016,36.905581
2017,34.652481
2018,34.601705
2019,30.941816
2020,28.294042
2021,29.587501
2022,28.431534
2023,27.264779
