"Year","Coal","Oil","Gas","Cement","Flaring"
2000,1.208193,1.512371,0.721741,0.093298,0.020796
2001,1.204482,1.552181,0.745960,0.091034,0.019664
2002,1.210209,1.541095,0.752084,0.090129,0.020380
2003,1.242523,1.544910,0.792161,0.091356,0.021389
2004,1.238364,1.535215,0.809361,0.095552,0.020130
2005,1.201006,1.539981,0.832904,0.096019,0.020978
2006,1.219250,1.532201,0.833943,0.098795,0.022970
2007,1.239180,1.467568,0.823852,0.103244,0.022755
2008,1.150896,1.462603,0.849872,0.096063,0.022522
2009,1.015055,1.385451,0.795140,0.078539,0.020589
2010,1.068779,1.360978,0.857893,0.076952,0.021151
2011,1.085412,1.309847,0.794187,0.075695,0.021680
2012,1.087822,1.263915,0.775033,0.071335,0.021606
2013,1.058196,1.233756,0.754293,0.067609,0.023268
2014,1.019137,1.215970,0.671724,0.070798,0.022598
2015,1.014878,1.247540,0.702430,0.070178,0.022236
2016,0.965582,1.255098,0.743069,0.070152,0.021766
2017,0.952892,1.259613,0.772066,0.072298,0.022306
2018,0.903290,1.255331,0.756888,0.073608,0.021971
2019,0.741261,1.254095,0.777562,0.073556,0.021166
2020,0.611928,1.133225,0.758045,0.070408,0.019022
2021,0.694340,1.184688,0.794000,0.072416,0.017817
2022,0.693058,1.216163,0.704304,0.069513,0.018997
2023,0.549154,1.185099,0.652349,0.067653,0.018689
2024,0.463713,1.190271,0.645818,0.065498,0.018689
