"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,0.893869,6.922762,2.804242,1.529500
1851,0.911383,7.198661,2.848247,1.527888
1852,0.701583,7.218556,2.659588,1.301746
1853,0.880752,7.594263,2.853487,1.470180
1854,0.870310,7.750972,2.850519,1.444459
1855,0.857669,7.867268,2.831246,1.420679
1856,0.928164,8.045191,2.891079,1.482491
1857,0.838067,8.038633,2.784713,1.387300
1858,0.951028,8.198640,2.875910,1.493703
1859,0.794209,8.062595,2.689779,1.334099
1860,0.749361,8.046584,2.631998,1.293868
1861,0.833523,8.144046,2.695568,1.389242
1862,0.898669,8.200508,2.734333,1.470400
1863,0.902846,8.175263,2.707513,1.496378
1864,0.890755,8.121879,2.659514,1.507626
1865,0.741740,7.924279,2.470379,1.389645
1866,0.971766,8.096304,2.657463,1.660268
1867,0.958905,8.015550,2.597300,1.692841
1868,1.039257,8.019763,2.625659,1.832586
1869,1.042115,7.936700,2.571065,1.910959
1870,1.044313,7.881594,2.546517,2.006443
1871,1.105392,7.865142,2.562089,2.201771
1872,1.054169,7.719645,2.451509,2.312131
1873,1.191386,7.752255,2.519733,2.653725
1874,1.265619,7.707480,2.511635,2.993268
1875,1.385798,7.692128,2.533583,3.463762
1876,1.521696,7.670364,2.552599,4.081879
1877,1.602524,7.561067,2.488296,4.855496
1878,1.869043,7.603716,2.576561,6.191794
1879,1.977388,7.438946,2.453964,8.133311
1880,1.840940,7.361086,2.255155,5.023527
1881,1.130674,7.410184,1.809906,2.439748
1882,0.748262,7.413188,1.377224,0.401904
1883,0.465768,7.425389,1.260966,-1.330215
1884,0.180745,7.397176,1.173652,-2.856235
1885,-0.057964,7.392450,1.130967,-4.155636
1886,-0.111679,7.554435,1.263384,-5.123115
1887,-0.330566,7.536262,1.218793,-6.141304
1888,-0.421580,7.637755,1.290974,-6.953942
1889,-0.520801,7.730234,1.346080,-7.750020
1890,-0.672234,7.804833,1.370629,-8.193693
1891,-0.749471,7.954654,1.456953,-8.524919
1892,-0.907793,8.030316,1.456147,-8.946279
1893,-0.996278,8.187171,1.520780,-9.345801
1894,-1.069705,8.374585,1.597687,-9.861216
1895,-1.137965,8.586254,1.678588,-9.508117
1896,-1.122613,8.909236,1.843835,-9.093608
1897,-1.195343,9.175242,1.923527,-8.787408
1898,-1.174972,9.560182,2.098593,-8.406865
