"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,1.176682,1.801773,0.243626,0.393308,0.048542,0.012052
2001,1.234791,1.866994,0.262418,0.360142,0.053835,0.015305
2002,1.338789,1.866468,0.293499,0.398822,0.029200,0.018550
2003,1.427212,1.951472,0.302931,0.389640,0.031682,0.020624
2004,1.484566,1.994830,0.368511,0.393116,0.033299,0.021516
2005,1.511793,2.008588,0.371523,0.395395,0.041969,0.022238
2006,1.586918,2.024569,0.398515,0.391910,0.041879,0.024160
2007,1.662057,2.098853,0.422816,0.395992,0.044968,0.029517
2008,1.591218,1.963602,0.459575,0.396326,0.043551,0.027549
2009,1.517778,1.915351,0.448804,0.401060,0.037684,0.029187
2010,1.628355,2.000652,0.557272,0.399151,0.041908,0.032992
2011,1.687885,1.863754,0.613438,0.401366,0.039722,0.038395
2012,1.650349,1.833421,0.643868,0.382880,0.055964,0.039297
2013,1.683447,1.878807,0.645765,0.392038,0.053207,0.043654
2014,1.701450,1.939538,0.679254,0.396706,0.042111,0.042906
2015,1.650424,1.993732,0.726493,0.339291,0.043337,0.045313
2016,1.670522,1.995165,0.754755,0.292803,0.063241,0.046615
2017,1.695819,1.981559,0.836822,0.206354,0.052184,0.053981
2018,1.704828,1.967418,0.851837,0.252974,0.042686,0.064661
2019,1.670971,1.856294,0.837354,0.294340,0.052617,0.078913
2020,1.561805,1.776585,0.895841,0.285246,0.028545,0.102148
2021,1.676641,1.880058,0.982456,0.251187,0.032731,0.119516
2022,1.581393,1.730865,1.010389,0.213947,0.054780,0.156518
2023,1.489952,1.634951,1.006090,0.159750,0.037063,0.201012
