"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,27.324133,7.266921,25.783348,33.206392
1851,27.556688,6.680644,25.806798,33.482951
1852,27.972002,6.307979,26.033160,33.992137
1853,28.091888,5.818285,25.955153,34.219708
1854,28.325505,5.439391,25.986370,34.575776
1855,28.721510,5.228638,26.167628,35.186821
1856,28.976744,4.885358,26.194632,35.654311
1857,29.115683,4.437251,26.093469,36.006165
1858,29.241102,3.992148,25.974609,36.350691
1859,29.905861,4.085213,26.382485,37.231113
1860,29.836612,4.022046,26.593752,36.327534
1861,29.945689,3.539461,26.324631,36.856103
1862,30.678196,3.618163,26.600713,37.877296
1863,30.946364,3.247660,26.410332,38.391758
1864,31.253627,2.944207,26.270147,38.918971
1865,31.445474,2.559304,26.031438,39.324136
1866,31.754899,2.320411,25.922031,39.817531
1867,32.142990,2.186822,25.902758,40.369183
1868,32.455968,2.002889,25.819255,40.828502
1869,32.709847,1.779312,25.686838,41.214321
1870,33.186314,1.704749,25.691528,41.401075
1871,33.387247,1.416392,25.511003,41.618240
1872,33.848875,1.427384,25.648623,42.134718
1873,34.323253,1.463072,25.806028,42.683035
1874,34.389644,1.101325,25.558782,42.838096
1875,34.648469,0.941501,25.505690,43.111210
1876,34.951775,0.833780,25.498106,43.445147
1877,35.162309,0.641750,25.399984,43.703239
1878,35.790099,0.878188,25.723075,44.395589
1879,35.941825,0.646549,25.570690,44.623563
1880,34.111620,0.812016,25.382360,41.632969
1881,33.207968,0.065329,23.944570,41.227218
1882,33.528238,0.343573,23.750524,41.732557
1883,33.375852,0.149748,23.136475,41.690055
1884,32.783493,-0.453164,22.133418,41.172221
1885,32.785985,-0.425757,21.772038,41.272945
1886,32.767958,-0.389556,21.428391,41.321310
1887,32.797636,-0.286122,21.159966,41.388764
1888,32.949692,-0.039791,21.041326,41.558957
1889,32.393058,-0.465658,20.236822,41.001223
1890,33.036383,-0.406704,20.074909,41.960238
1891,33.092442,-0.538755,19.867014,41.960128
1892,33.732872,0.037593,20.286249,42.647788
1893,33.258458,-0.460198,19.596574,42.261345
1894,33.357312,-0.370504,19.474893,42.467079
1895,33.487311,-0.230685,19.385784,42.606971
1896,33.798458,0.113034,19.481378,42.948748
1897,33.717154,0.099148,19.203354,42.942080
1898,33.919443,0.397727,19.231054,43.262753
1899,33.783582,0.361344,18.921299,43.263486
1900,33.842133,0.485700,18.761219,43.173865
