"Year","Coal","Oil","Gas","Cement","Flaring"
2000,337.883088,33.302096,3.198672,3.671550,0.251465
2001,337.692560,25.886160,4.154976,3.636311,0.253966
2002,325.528080,22.449328,4.122000,4.205375,0.218335
2003,357.444766,39.743769,2.469558,4.458418,0.293147
2004,384.086128,54.238192,6.364368,4.335458,0.282820
2005,376.717824,27.831744,6.313072,5.067968,0.270593
2006,382.016498,53.079933,6.126158,5.332632,0.214809
2007,392.172001,59.331619,7.892318,5.490830,0.157850
2008,418.299993,62.764785,8.119484,5.342753,0.171127
2009,390.674000,71.070608,7.038544,5.570679,0.169377
2010,394.436928,54.458032,8.866880,5.045101,0.192731
2011,389.670064,62.665392,8.800928,4.638359,0.133081
2012,392.821104,52.182688,9.255264,4.632736,0.073431
2013,392.663552,51.655072,9.383504,4.893275,0.051141
2014,399.203792,58.755904,9.042752,4.910520,0.051951
2015,377.025600,53.893776,9.966080,5.419228,0.044599
2016,384.492832,59.049024,7.815312,5.691390,0.041510
2017,369.921104,57.224352,7.338992,5.481458,0.029737
2018,355.114880,64.823488,9.119696,5.466088,0.057138
2019,394.345328,55.168848,9.105040,5.452967,0.041705
2020,373.889216,45.407952,9.643648,5.070967,0.054737
2021,355.642496,56.557504,8.383232,5.282258,0.052399
2022,335.073529,56.433763,8.484427,5.282258,0.037764
2023,329.772941,57.360719,9.432980,5.282258,0.044185
