"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.046296,0.267921,0.211510,0,0.260114,0.040565
2001,0.057336,0.270879,0.223175,0,0.229301,0.038248
2002,0.057307,0.278939,0.213055,0,0.261361,0.036391
2003,0.082708,0.295907,0.160647,0,0.246633,0.035161
2004,0.085459,0.291712,0.146585,0,0.282587,0.038505
2005,0.095139,0.307582,0.135274,0,0.240467,0.045069
2006,0.093677,0.308843,0.137356,0,0.241471,0.047604
2007,0.070996,0.310266,0.151748,0,0.240647,0.052398
2008,0.088101,0.313953,0.140563,0,0.226070,0.059635
2009,0.067748,0.300321,0.144500,0,0.243476,0.070240
2010,0.057859,0.302622,0.157536,0,0.247069,0.081382
2011,0.058571,0.309962,0.144776,0,0.249378,0.087264
2012,0.072979,0.306044,0.160728,0,0.226012,0.090488
2013,0.064359,0.309714,0.169434,0,0.225950,0.092988
2014,0.059436,0.315779,0.188243,0,0.237168,0.101810
2015,0.060025,0.328700,0.172868,0,0.237810,0.108494
2016,0.049666,0.340393,0.172705,0,0.249945,0.107758
2017,0.052331,0.356988,0.179716,0,0.241201,0.105213
2018,0.056422,0.358021,0.162082,0,0.250065,0.103902
2019,0.059933,0.367018,0.172958,0,0.242918,0.106437
2020,0.056736,0.303262,0.164615,0,0.229432,0.107281
2021,0.066199,0.302039,0.139475,0,0.228292,0.111973
2022,0.045887,0.298697,0.130379,0,0.246620,0.114377
2023,0.041003,0.319015,0.136997,0,0.247896,0.115973
