"Year","Coal","Oil","Gas","Cement","Flaring"
2000,2.601762,0.648686,0.059796,0.244388,0.004737
2001,2.637651,0.659300,0.067157,0.270828,0.004783
2002,3.018638,0.653086,0.053993,0.282688,0.004486
2003,3.601712,0.727099,0.060745,0.353679,0.005180
2004,3.835288,0.839093,0.071521,0.368396,0.005192
2005,4.424353,0.850173,0.084957,0.411649,0.005588
2006,4.905367,0.898534,0.103753,0.470087,0.005534
2007,5.289874,0.927351,0.129515,0.514981,0.004965
2008,5.729473,0.970118,0.149674,0.525924,0.004666
2009,6.028489,0.982348,0.164404,0.583560,0.004557
2010,6.568743,1.092571,0.199585,0.639592,0.003974
2011,7.309709,1.123859,0.245990,0.708564,0.003853
2012,7.464744,1.176712,0.277599,0.714782,0.003733
2013,7.493408,1.234621,0.320127,0.748323,0.003632
2014,7.424993,1.255605,0.370222,0.770284,0.003930
2015,7.266920,1.328805,0.380052,0.718559,0.003901
2016,7.071355,1.357838,0.421726,0.740776,0.003090
2017,7.163256,1.430587,0.486359,0.753439,0.002969
2018,7.316367,1.500474,0.575369,0.765835,0.003408
2019,7.523024,1.559728,0.630171,0.819965,0.003839
2020,7.679484,1.523052,0.676473,0.849976,0.005170
2021,8.141342,1.521110,0.765333,0.843777,0.004812
2022,8.168899,1.489342,0.760059,0.756020,0.004678
2023,8.550844,1.642827,0.814783,0.718017,0.004494
2024,8.602149,1.634613,0.882410,0.662012,0.004494
