"Year","Coal","Oil","Gas","Cement","Flaring"
2000,56.032194,254.694979,134.813295,15.862119,3.261918
2001,59.024471,250.894409,135.107373,16.394484,3.070873
2002,60.015667,256.777348,135.864675,16.288779,2.842968
2003,65.125831,255.077974,149.024230,16.938410,3.383522
2004,72.217312,247.919934,154.661764,17.407936,2.646031
2005,71.264929,238.520895,165.659608,17.403219,2.557067
2006,70.786907,236.560964,162.584734,17.473865,2.591484
2007,70.675246,229.103096,163.512326,17.913986,2.526290
2008,68.138769,218.697978,167.141928,16.127209,2.596047
2009,52.387805,198.108814,154.034299,13.340683,2.231504
2010,58.217963,193.381079,164.346876,13.276015,2.376961
2011,65.439217,186.073261,153.000385,12.583285,2.615166
2012,66.958943,172.424133,147.713829,10.071460,2.527781
2013,57.781948,158.978215,137.700968,8.877183,2.701607
2014,55.837153,157.754691,121.589383,8.338587,2.501145
2015,53.062915,161.536307,132.756286,8.196151,2.574282
2016,48.302166,156.137019,140.791993,7.680499,2.188690
2017,41.798007,148.862094,148.758081,7.711494,2.351260
2018,39.214171,152.851850,143.671518,7.756716,2.295148
2019,30.482638,148.586890,146.768972,7.911519,2.756264
2020,22.129336,127.651158,140.815943,7.059192,2.112355
2021,24.565639,147.039186,151.363877,7.918827,1.815685
2022,31.376494,157.948580,137.601074,7.918827,2.549430
2023,21.872148,155.899354,121.942973,7.918827,2.549430
