"Year","Total"
1959,48.948799
1960,48.764500
1961,51.126710
1962,53.640125
1963,50.032660
1964,55.670041
1965,58.804850
1966,63.072667
1967,65.475982
1968,69.009217
1969,77.248870
1970,82.648001
1971,88.847129
1972,90.066640
1973,93.975907
1974,95.480377
1975,94.845480
1976,99.699155
1977,100.705869
1978,102.555595
1979,110.616144
1980,108.656130
1981,101.968542
1982,103.351137
1983,105.142036
1984,106.451701
1985,100.531216
1986,104.150065
1987,114.877229
1988,121.404742
1989,117.020422
1990,112.148704
1991,117.754896
1992,121.534696
1993,118.001059
1994,118.469418
1995,125.276644
1996,131.149500
1997,136.553056
1998,139.320095
1999,148.303872
2000,143.468697
2001,135.136845
2002,124.931023
2003,134.481242
2004,157.049416
2005,161.588548
2006,174.308940
2007,173.581002
2008,187.342388
2009,178.180677
2010,185.945936
2011,189.775144
2012,191.361729
2013,189.537745
2014,188.396533
2015,191.743840
2016,189.920438
2017,186.898880
2018,180.599326
2019,178.508079
2020,165.120861
2021,191.107831
2022,204.080687
2023,195.805967
