"Year","Total"
1959,42.388397
1960,49.170521
1961,48.799507
1962,51.272587
1963,55.313057
1964,60.368070
1965,62.562213
1966,72.517360
1967,68.929739
1968,77.606031
1969,86.381133
1970,92.287025
1971,84.508866
1972,84.703225
1973,87.289525
1974,79.822837
1975,80.760118
1976,88.240856
1977,85.740394
1978,79.476488
1979,84.868579
1980,71.713685
1981,69.388504
1982,62.256745
1983,58.268315
1984,57.308088
1985,62.364008
1986,62.009779
1987,59.694709
1988,57.425122
1989,55.520775
1990,57.520481
1991,57.751218
1992,57.578298
1993,57.571903
1994,60.025655
1995,59.511809
1996,63.381058
1997,58.383135
1998,58.801792
1999,55.981563
2000,54.930043
2001,55.837566
2002,56.685394
2003,57.292191
2004,56.516888
2005,53.875298
2006,53.737864
2007,52.993881
2008,50.866404
2009,47.238340
2010,53.119860
2011,49.210626
2012,46.711966
2013,45.201721
2014,43.472689
2015,43.418146
2016,43.413622
2017,42.438434
2018,42.058474
2019,40.833567
2020,36.702515
2021,38.633692
2022,37.474407
2023,36.556278
