"Year","Coal","Oil","Gas","Cement","Flaring"
2000,7.873705,56.152817,49.671391,6.587950,2.592190
2001,9.929712,63.480536,48.582305,6.327250,2.570236
2002,12.545536,60.705152,49.024320,7.145680,2.614543
2003,18.213744,62.222048,61.881296,7.731190,3.336059
2004,31.719248,67.615456,59.217568,7.774560,3.351461
2005,26.109664,68.798928,64.079696,7.615980,3.363063
2006,26.626288,62.324640,69.546384,8.135970,3.533165
2007,29.934279,68.826858,65.437726,7.872290,3.379641
2008,38.036676,70.210845,72.632793,8.416130,3.550618
2009,46.591424,68.612064,65.442704,7.929970,3.542917
2010,55.337392,73.375264,60.807744,7.059110,2.766593
2011,55.543511,71.753320,64.784275,7.766200,3.605036
2012,59.869760,74.276608,66.289088,8.111040,4.443480
2013,57.989249,87.212871,82.273874,8.793360,5.401730
2014,57.866418,88.717760,82.562148,9.467910,6.435477
2015,66.750752,76.189216,77.211472,8.672600,7.114053
2016,71.521280,77.292080,73.525488,9.125800,5.829041
2017,78.956709,80.880337,70.426790,8.775600,5.417655
2018,84.585936,80.676502,84.259845,9.064000,4.057133
2019,80.135344,96.923792,89.764336,9.120650,3.897840
2020,94.069536,69.539056,83.744384,11.291775,4.554649
2021,86.460593,73.878244,97.599305,11.307635,3.906719
2022,85.388704,87.059922,98.726119,11.247027,3.026189
2023,88.600815,96.716993,87.562515,13.135503,2.807829
