"Year","BLUE","H&C2023","OSCAR","LUCE"
1959,-29.923485,-24.985842,1.763117,-35.876203
1960,-32.558121,-26.849975,4.408561,-32.859778
1961,-33.213134,-27.120452,-1.477691,-31.413377
1962,-34.747727,-28.014211,1.785614,-32.285043
1963,-41.349266,-30.072976,3.992661,-43.476218
1964,-43.733211,-30.911116,0.957476,-47.618370
1965,-47.783726,-34.665251,5.572944,-53.319297
1966,-49.027654,-37.947901,4.328576,-53.035667
1967,-56.054950,-37.095912,2.918926,-52.370468
1968,-52.935640,-44.262183,3.930080,-47.094821
1969,-61.910205,-48.019321,0.968432,-47.374018
1970,-54.421355,-53.261516,1.261185,-54.773612
1971,-57.615631,-52.047743,0.937911,-40.816447
1972,-54.317224,-53.731388,0.858109,-30.296040
1973,-46.198167,-54.050229,-2.166743,-13.630190
1974,-44.110420,-49.810468,-0.517613,-4.866598
1975,-49.638956,-37.752903,-1.411336,-6.143026
1976,-47.101819,-29.635238,-3.289319,0.816852
1977,-39.886524,-43.533193,-1.030537,7.806445
1978,-43.266344,-45.985838,-2.148350,5.705911
1979,-43.330574,-33.854444,-1.567716,8.041747
1980,-40.066243,-31.020120,-1.655945,14.034366
1981,-36.808288,-38.760137,-1.887326,19.447413
1982,-37.954423,-27.028668,-3.845112,15.989769
1983,-33.164952,-14.770756,-3.507511,21.285678
1984,-31.323060,-9.841504,0.399413,22.838811
1985,-30.034101,-3.499596,-1.522099,24.199987
1986,-25.461649,-27.651072,-0.412310,30.966552
1987,-35.287654,-30.123906,0.116076,22.819136
1988,-26.755810,-31.790989,1.007234,46.542913
1989,-19.994851,-20.479928,0.896654,82.401052
1990,-13.965629,-29.646267,4.424170,129.796137
1991,-11.033806,-28.519550,7.551431,195.185017
1992,-4.627522,-32.686507,8.356631,122.959810
1993,-8.477470,-34.430864,9.555089,53.192157
1994,-9.390979,-36.307968,6.345718,2.697657
1995,-11.487043,-37.147501,7.135970,-40.482913
1996,-11.985384,-37.743927,9.630531,-72.969586
