"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.107417,0.735914,0.029094,0.585486,0.836539,0.051969
2001,0.116402,0.738386,0.032824,0.731814,0.836152,0.049144
2002,0.125001,0.739907,0.033404,0.686780,0.697277,0.055732
2003,0.122556,0.741290,0.033309,0.675405,0.558982,0.061713
2004,0.126089,0.734686,0.033164,0.773199,0.628537,0.096873
2005,0.115254,0.708830,0.031598,0.719042,0.746355,0.101756
2006,0.127259,0.704284,0.033080,0.658358,0.631157,0.114378
2007,0.118576,0.688645,0.034139,0.654165,0.673571,0.138890
2008,0.118610,0.675398,0.030997,0.620201,0.700846,0.152784
2009,0.083619,0.629158,0.041382,0.503340,0.658918,0.170910
2010,0.111879,0.656169,0.055685,0.553516,0.671225,0.189773
2011,0.099737,0.606993,0.043980,0.576324,0.666018,0.210204
2012,0.085841,0.582606,0.038344,0.606567,0.779207,0.230316
2013,0.087882,0.568869,0.036851,0.625693,0.602045,0.251414
2014,0.082921,0.560504,0.030253,0.607160,0.621864,0.260092
2015,0.083166,0.553133,0.033609,0.524207,0.730132,0.315175
2016,0.081489,0.571817,0.035960,0.583554,0.598804,0.322217
2017,0.081366,0.582281,0.034619,0.603979,0.623342,0.347248
2018,0.081041,0.513712,0.036608,0.626524,0.591932,0.343285
2019,0.081052,0.523065,0.037004,0.602184,0.619638,0.390005
2020,0.067003,0.484021,0.035673,0.446356,0.683438,0.444514
2021,0.068130,0.529902,0.038262,0.478774,0.695143,0.471035
2022,0.066410,0.477811,0.028792,0.467836,0.655196,0.542052
2023,0.065216,0.466200,0.025783,0.434628,0.617557,0.541626
