"Year","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,1.846371,1.858337,1.864817,1.864817,1.864810,1.855012,2.165071,1.937668,1.937789,2.402966,2.402966,2.388697,2.421884,2.421884,2.421900
1991,2.018978,2.032484,2.040114,2.040114,2.040121,2.035729,2.160510,2.104699,2.106482,2.249668,2.249668,2.232386,2.266108,2.266108,2.266125
1992,2.121608,2.137938,2.144930,2.144930,2.144926,2.169354,2.315822,2.313984,2.300060,2.309588,2.309588,2.286766,2.288270,2.288270,2.288287
1993,2.117183,2.133543,2.140850,2.140850,2.183217,2.246786,2.676870,2.328408,2.312764,2.885796,2.885796,2.865070,2.880225,2.880225,2.880244
1994,2.227543,2.245839,2.252000,2.252000,2.251983,2.297230,2.562320,2.496738,2.478468,2.664113,2.664113,2.642320,2.652701,2.652701,2.652723
1995,2.186264,2.209378,2.210948,2.210948,2.210915,2.307730,2.354731,2.492549,2.471246,2.454706,2.454706,2.433857,2.446529,2.446529,2.446554
1996,2.239172,2.263306,2.263306,2.263306,2.259586,2.323815,2.447904,2.464447,2.430500,2.573095,2.573095,2.545184,2.528572,2.528572,2.528595
1997,2.228011,2.253177,2.253177,2.253177,2.251003,2.326462,2.450105,2.509317,2.476000,2.580629,2.580629,2.551169,2.550663,2.550663,2.550683
1998,2.231257,2.257155,2.257155,2.257155,2.260822,2.333179,2.467279,2.510951,2.480195,2.540193,2.540193,2.508641,2.519974,2.519974,2.519990
1999,2.322191,2.347345,2.347345,2.347345,2.348241,2.414370,2.577171,2.565947,2.527277,2.623461,2.623461,2.587689,2.568708,2.568708,2.568722
2000,2.320050,2.344558,2.344558,2.344558,2.354955,2.410170,2.413617,2.566655,2.521723,2.541524,2.541524,2.503259,2.464131,2.464131,2.464150
2001,2.437027,2.464117,2.464117,2.464117,2.474795,2.546512,2.595615,2.463805,2.422221,2.660985,2.660985,2.643532,2.732346,2.732346,2.732367
2002,2.457493,2.484112,2.484112,2.484112,2.490169,2.460134,2.609900,2.439658,2.416843,2.703384,2.703384,2.683687,2.743103,2.743103,2.743128
2003,2.637976,2.663126,2.663126,2.663126,2.664259,2.662135,2.882030,2.658252,2.623259,2.975312,2.975312,2.956564,2.956835,2.956835,2.956867
2004,2.593144,2.617874,2.617874,2.617874,2.620366,2.601062,2.755085,2.553432,2.536094,2.842603,2.842603,2.816156,2.845226,2.845226,2.845273
2005,2.610992,2.703213,2.703331,2.703331,2.686327,2.732581,2.700543,2.662027,2.592407,2.650287,2.650287,2.640703,2.652673,2.645771,2.645829
2006,2.627825,2.670195,2.670309,2.670309,2.655440,2.771869,2.703355,2.674901,2.599691,2.661427,2.661427,2.657141,2.662943,2.650740,2.650816
2007,2.696597,2.756152,2.756290,2.756290,2.730527,2.828051,2.773209,2.752353,2.679277,2.732054,2.734730,2.727632,2.727741,2.724022,2.724110
2008,2.652305,2.714949,2.715103,2.715100,2.695340,2.818512,2.780473,2.819787,2.754860,2.743202,2.743202,2.735964,2.686460,2.717220,2.717322
2009,2.509937,2.627627,2.627764,2.641900,2.616226,2.680197,2.627119,2.579899,2.526333,2.528169,2.528169,2.523230,2.521904,2.556304,2.556429
2010,,2.639742,2.639870,2.639613,2.621771,2.686508,2.634368,2.586111,2.528266,2.577669,2.575432,2.585031,2.598654,2.615001,2.615125
2011,,,2.662156,2.666941,2.661098,2.781340,2.721072,2.650586,2.606878,2.573363,2.572127,2.572478,2.579143,2.603281,2.603427
2012,,,,2.805803,2.796123,2.864673,2.815429,2.806522,2.765590,2.756283,2.754712,2.720405,2.711181,2.743023,2.743201
2013,,,,,2.414702,2.472129,2.478022,2.469958,2.426759,2.426364,2.432716,2.367599,2.367593,2.417796,2.417989
2014,,,,,,2.479591,2.477250,2.458983,2.414620,2.430810,2.436809,2.352789,2.352743,2.405426,2.405653
2015,,,,,,,1.755667,1.756504,1.707643,1.725232,1.730898,1.655182,1.655095,1.689158,1.687282
2016,,,,,,,,1.419136,1.405553,1.391565,1.397472,1.348417,1.348275,1.367579,1.367848
2017,,,,,,,,,1.603575,1.547658,1.554077,1.525513,1.525477,1.531505,1.531838
2018,,,,,,,,,,1.525505,1.532233,1.540840,1.540780,1.541449,1.541770
2019,,,,,,,,,,,1.663842,1.643864,1.643484,1.643499,1.643884
2020,,,,,,,,,,,,1.594474,1.592102,1.595295,1.595783
2021,,,,,,,,,,,,,1.601540,1.605670,1.606206
2022,,,,,,,,,,,,,,1.767700,1.768296
2023,,,,,,,,,,,,,,,1.761700
