"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,2.937507,2.427579,0.464629,0.056688,0.000011,-0.011400
1991,2.908893,2.272026,0.595528,0.057070,0.000011,-0.015741
1992,2.799732,2.293779,0.456393,0.058569,0.001471,-0.010480
1993,3.397976,2.885772,0.459856,0.061197,0.001471,-0.010320
1994,3.173448,2.658531,0.463091,0.060576,0.001476,-0.010226
1995,2.945062,2.452314,0.441233,0.059304,0.001482,-0.009272
1996,3.036368,2.534133,0.451492,0.058549,0.001494,-0.009300
1997,3.066631,2.556433,0.458241,0.059721,0.001496,-0.009261
1998,3.024252,2.525116,0.446700,0.059556,0.001517,-0.008638
1999,3.096262,2.573043,0.470938,0.059998,0.001520,-0.009237
2000,2.998961,2.468336,0.474216,0.059435,0.006146,-0.009171
2001,3.181838,2.736744,0.381731,0.058739,0.010331,-0.005707
2002,2.786710,2.747426,-0.042033,0.057866,0.013745,0.009706
2003,3.004109,2.961050,-0.040542,0.057992,0.015687,0.009922
2004,3.208506,2.849283,0.280065,0.058131,0.022137,-0.001110
2005,3.007193,2.649987,0.266725,0.055281,0.035762,-0.000563
2006,3.153322,2.655528,0.377044,0.054810,0.070207,-0.004266
2007,3.210402,2.727978,0.347193,0.055503,0.082734,-0.003005
2008,2.649649,2.721453,-0.235728,0.052138,0.097281,0.014506
2009,2.498188,2.560943,-0.239223,0.048925,0.112375,0.015167
2010,2.536468,2.619338,-0.271719,0.049015,0.124047,0.015787
2011,2.915272,2.608220,0.113773,0.042527,0.148811,0.001942
2012,3.083359,2.749084,0.116125,0.041387,0.174734,0.002029
2013,2.774852,2.429713,0.114765,0.039915,0.188453,0.002006
2014,2.810981,2.417386,0.155319,0.040043,0.197192,0.001040
2015,2.107399,1.697518,0.164741,0.039043,0.204929,0.001169
2016,1.817372,1.375929,0.183167,0.039000,0.218324,0.000953
2017,1.896881,1.537277,0.092000,0.037312,0.226197,0.004094
2018,1.931427,1.547774,0.129823,0.039020,0.211727,0.003084
2019,0.788557,1.649287,-1.152916,0.041266,0.201288,0.049632
2020,0.690514,1.600980,-1.210632,0.041328,0.206977,0.051861
2021,2.032328,1.611496,0.168665,0.040338,0.209312,0.002517
2022,2.195947,1.774332,0.172915,0.042395,0.203882,0.002424
2023,2.185689,1.768131,0.173042,0.040309,0.201922,0.002285
2024,2.076850,1.731810,0.102235,0.040852,0.196732,0.005221
