"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,2.435143,1.765011,0.052827,0.351294,0.265208,0.000803,,
1991,2.278904,1.604865,0.054774,0.371719,0.246861,0.000686,,
1992,2.301643,1.541742,0.063682,0.396362,0.299033,0.000824,,
1993,2.896000,2.109397,0.065364,0.417710,0.302650,0.000880,,
1994,2.667773,1.815463,0.070707,0.436136,0.344486,0.000980,,
1995,2.460587,1.595641,0.075543,0.450423,0.337811,0.001169,,
1996,2.542903,1.652164,0.076197,0.471987,0.341425,0.001130,,
1997,2.565202,1.616700,0.078546,0.483791,0.385061,0.001104,,
1998,2.534190,1.641554,0.059906,0.490336,0.341306,0.001088,,
1999,2.582992,1.714899,0.063657,0.498399,0.304904,0.001133,,
2000,2.477953,1.607391,0.062628,0.503593,0.303061,0.001280,,
2001,2.746515,1.950058,0.056629,0.528567,0.209880,0.001381,,
2002,2.757197,1.963046,0.059773,0.530068,0.202855,0.001455,,
2003,2.971595,2.166499,0.064234,0.530768,0.208779,0.001315,,
2004,2.859425,2.072054,0.064382,0.507218,0.214450,0.001321,,
2005,2.660004,1.977502,0.027842,0.530006,0.123341,0.001313,,
2006,2.664549,1.992054,0.030747,0.533423,0.106871,0.001454,,
2007,2.738375,2.033784,0.036958,0.549366,0.116593,0.001674,,
2008,2.730670,2.024961,0.036958,0.547524,0.119503,0.001723,,
2009,2.568838,1.903106,0.024681,0.532741,0.106426,0.001884,,
2010,2.628417,1.884244,0.030838,0.578844,0.132463,0.002028,,
2011,2.616149,1.937665,0.015310,0.562555,0.097873,0.002747,,
2012,2.756099,2.057137,0.027823,0.542638,0.126019,0.002483,,
2013,2.429485,1.695085,0.053642,0.542635,0.135273,0.002850,,
2014,2.417273,1.656731,0.062880,0.552492,0.142064,0.003106,,
2015,1.696640,0.886538,0.059882,0.586539,0.160277,0.003403,,
2016,1.376233,0.578348,0.059681,0.586104,0.148535,0.003565,,
2017,1.540152,0.724519,0.053657,0.607136,0.151127,0.003713,,
2018,1.550809,0.698602,0.053819,0.661155,0.133922,0.003310,,
2019,1.653640,0.739912,0.062436,0.701459,0.146495,0.003337,,
2020,1.604247,0.810842,0.081268,0.579994,0.128001,0.004142,,
2021,1.614897,0.772501,0.085535,0.621646,0.132000,0.003215,,
2022,1.778203,0.797328,0.094055,0.724379,0.159024,0.003416,,
2023,1.771102,0.799532,0.064863,0.765244,0.137744,0.003719,,
