"Year","Malta","World"
1950,0.833066,2.378734
1951,0.853639,2.515504
1952,0.793105,2.502896
1953,0.746198,2.524970
1954,0.980975,2.527923
1955,1.071079,2.716614
1956,0.920386,2.835461
1957,0.953308,2.869636
1958,1.001069,2.891376
1959,1.175664,2.985590
1960,1.030022,3.112931
1961,0.885963,3.071906
1962,0.997797,3.120741
1963,1.244275,3.215595
1964,1.515578,3.315825
1965,1.443674,3.391959
1966,1.271304,3.484865
1967,1.606755,3.523155
1968,1.970672,3.640223
1969,2.008271,3.802135
1970,2.034238,4.032588
1971,2.015075,4.112597
1972,2.553357,4.219747
1973,2.442274,4.355556
1974,2.242506,4.253289
1975,1.999844,4.173319
1976,2.273021,4.310191
1977,2.379919,4.352449
1978,2.755610,4.432504
1979,2.654208,4.465701
1980,2.981407,4.364099
1981,3.315914,4.168842
1982,3.784032,4.060496
1983,2.858961,4.023942
1984,3.888187,4.068703
1985,3.398308,4.137420
1986,4.179150,4.122175
1987,5.177569,4.179654
1988,5.568667,4.262697
1989,5.950500,4.241189
1990,6.597874,4.266701
1991,6.118132,4.282473
1992,6.119641,4.090168
1993,7.629494,4.068620
1994,6.969029,4.047994
1995,6.376667,4.083544
1996,6.537176,4.148108
1997,6.543137,4.114970
1998,6.412180,4.044522
1999,6.482610,4.079117
2000,6.172045,4.133621
2001,6.794157,4.107635
2002,6.773884,4.144280
2003,7.253004,4.307030
2004,6.935531,4.399256
2005,6.411038,4.493561
2006,6.391444,4.585831
2007,6.538398,4.661509
2008,6.495200,4.682571
2009,6.085775,4.545518
2010,6.197214,4.744937
2011,6.142307,4.848876
2012,6.443949,4.854014
2013,5.670757,4.837742
2014,5.563645,4.804597
2015,3.814698,4.739116
2016,3.022123,4.682487
2017,3.285315,4.705259
2018,3.194050,4.752195
2019,3.272118,4.747814
2020,3.089285,4.457744
2021,3.073002,4.634748
2022,3.359091,4.678452
2023,3.317351,4.707772
2024,3.203751,4.729075
