"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,,0.001300,
1962,,,,,0.001800,
1963,,,,,0.001400,
1964,,,,,0.001400,
1965,,,,,0.001600,
1966,,,,,0.001700,
1967,,,,,0.002100,
1968,,,,,0.002800,
1969,,,,,0.003300,
1970,,,,,0.005500,
1971,,,,,0.003500,
1972,,,,,0.005100,
1973,,,,,0.008000,
1974,,,,,0.007000,
1975,,,,,0.006000,
1976,,,,,0.003900,
1977,,,,,0.005000,
1978,,,,,0.004200,
1979,,,,,0.005000,
1980,,,,,0.006400,
1981,,,,,0.006400,
1982,,,,,0.006400,
1983,,,,,0.006400,
1984,,,,,0.003400,
1985,,,,,0.003300,
1986,,,,,0.005500,
1987,,,,,0.005500,
1988,,,,,0.005500,
1989,,,,,0.003600,
1990,0,0,0,,0.006300,
1991,0,0,0,,0.006600,
1992,0,0,0,,0.030813,0.000054
1993,0,0,0,,0.021191,0
1994,0,0,0,,0.035100,0
1995,0,0,0,,0.031100,0
1996,0,0,0,,0.013100,0
1997,0,0,0,,0.033700,0
1998,0,0,0,0,0.026800,0
1999,0,0,0,0,0.025150,0
2000,0,0,0,0,0.025150,0
2001,0,0,0,0,0.043090,0
2002,0,0,0,0,0.039250,0
2003,0,0,0,0,0.020814,0.000097
2004,0,0,0,0,0.034730,0.000380
2005,0,0,0,0,0.036990,0.000140
2006,0,0,0,0,0.032228,0
2007,0,0,0,0,0.024410,0.000544
2008,0,0,0,0,0.032049,0.000403
2009,0,0,0,0,0.027273,0.000024
2010,0,0,0,0,0.022576,0.000038
2011,0,0,0,0,0.021551,0.000020
2012,0,0,0,0,0.020503,0.000064
2013,0,0,0,0,0.020391,0.000249
2014,0,0,0,0,0.024194,0.000017
2015,0,0,0,0,0.024506,0.000009
2016,0,0,0,0,0.021294,0.000009
2017,0,0,0,0,0.036785,0.000061
2018,0,0,0,0,0.041279,0.000415
2019,0,0,0,0,0.025798,0.000008
2020,0,0,0,0,0.025798,0.000008
2021,0,0,0,0,0.025798,0.000008
2022,0,0,0,0,0.025798,0.000008
2023,0,0,0,0,0.025798,0.000008
