"Year","Natural gas","Solar"
2016,0,0.032895
2017,0,0.034376
2018,0.451979,0.027720
2019,0.074425,0.005405
2020,0.010109,0.041480
2021,0.073336,0.018904
2022,0.034754,0.033742
2023,0.072678,0.019451
2024,-0.164872,-0.000000
2025,-0.040703,-0.001428
