"Year","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,-0.056969,-0.056969,-0.056538,-0.005207,-0.002567,-0.002574,0.002965,0.002962,0.002962,0.002962,0.006420,-0.008330,-0.008301,-0.010255,-0.010255
1991,-0.056969,-0.056969,-0.056538,-0.006759,-0.002640,-0.002647,0.004744,0.004750,0.004750,0.004750,0.006099,-0.008568,-0.008538,-0.015411,-0.015411
1992,-0.056969,-0.056969,-0.056538,-0.006759,-0.002640,-0.002647,0.004352,0.004356,0.004356,0.004356,0.006400,-0.005332,-0.005303,-0.011428,-0.011428
1993,-0.056969,-0.056969,-0.056538,-0.006759,-0.002640,-0.002647,0.003274,0.003273,0.003273,0.003273,0.007198,-0.005170,-0.005140,-0.010994,-0.010994
1994,-0.056969,-0.056969,-0.056538,-0.006759,-0.002640,-0.002647,0.003681,0.003679,0.003679,0.003679,0.007378,-0.004837,-0.004807,-0.010390,-0.010390
1995,-0.056969,-0.056969,-0.056538,-0.006759,-0.002640,-0.002647,0.003072,0.003071,0.003071,0.003071,0.007824,-0.004320,-0.004290,-0.009601,-0.009601
1996,-0.058463,-0.058463,-0.056538,-0.006759,-0.002640,-0.002647,0.003006,0.003004,0.003004,0.003004,0.007885,-0.004351,-0.004321,-0.009359,-0.009359
1997,-0.058463,-0.058463,-0.056538,-0.006759,-0.002640,-0.002647,0.002925,0.002930,0.002930,0.002930,0.007796,-0.004578,-0.004548,-0.009313,-0.009313
1998,-0.058463,-0.058463,-0.056538,-0.006759,-0.002640,-0.002647,0.002540,0.002547,0.002547,0.002547,0.007616,-0.004357,-0.004327,-0.008793,-0.008793
1999,-0.057831,-0.057831,-0.055906,-0.006759,-0.002640,-0.002647,0.001909,0.001920,0.001920,0.001920,0.007522,-0.005137,-0.005107,-0.009300,-0.009300
2000,-0.057831,-0.057831,-0.055906,-0.006759,-0.002640,-0.002647,0.003149,0.003151,0.003151,0.003151,0.006850,-0.005235,-0.005205,-0.009166,-0.009166
2001,-0.057831,-0.057831,-0.055906,-0.006759,-0.002640,-0.002647,0.002111,0.002105,0.002105,0.002105,0.006699,-0.002662,-0.002632,-0.005697,-0.005697
2002,-0.057831,-0.057831,-0.055906,-0.006815,-0.002677,-0.002684,0.001227,0.001264,0.001264,0.001264,0.006499,0.021041,0.021071,0.020130,0.020130
2003,-0.058927,-0.058927,-0.057002,-0.006872,-0.002603,-0.002611,0.001312,0.001387,0.001387,0.001387,0.006028,0.021020,0.021050,0.020145,0.020145
2004,-0.060093,-0.060093,-0.058169,-0.006928,-0.002640,-0.002647,0.001455,0.001535,0.001535,0.001535,0.005577,-0.000582,-0.000552,-0.000769,-0.000769
2005,-0.059001,-0.059001,-0.057076,-0.006985,-0.002677,-0.002684,0.001631,0.001708,0.001708,0.001708,0.005156,-0.000780,-0.000751,-0.000264,-0.000264
2006,-0.060787,-0.060791,-0.058866,-0.007041,-0.002713,-0.002721,0.001796,0.001879,0.001879,0.001879,0.004727,-0.001972,-0.001942,-0.000986,-0.000986
2007,-0.060779,-0.060787,-0.058862,-0.007098,-0.002750,-0.002757,0.001942,0.002014,0.002014,0.002014,0.004281,-0.001728,-0.001699,-0.000271,-0.000271
2008,-0.060779,-0.060787,-0.058862,-0.007155,-0.002787,-0.002794,0.002066,0.002110,0.002110,0.002110,0.003858,0.011736,0.011766,0.013663,0.013663
2009,-0.060762,-0.060779,-0.058873,-0.007211,-0.002823,-0.002794,0.002202,0.002246,0.002246,0.002246,0.003465,0.011170,0.011200,0.013569,0.013569
2010,,-0.061579,-0.059672,-0.007268,-0.002897,-0.002831,0.001956,0.001998,0.001998,0.001998,0.002695,0.011010,0.011013,0.013855,0.013855
2011,,,-0.059674,-0.007324,-0.002933,-0.002867,0.002184,0.002233,0.002233,0.002233,0.002415,-0.002153,-0.002150,0.000540,0.000540
2012,,,,-0.007218,-0.003007,-0.002904,0.002426,0.002468,0.002468,0.002468,0.002135,-0.001959,-0.001956,0.000565,0.000565
2013,,,,,-0.002970,-0.002867,0.002664,0.002705,0.002705,0.002705,0.001856,-0.001772,-0.001769,0.000480,0.000480
2014,,,,,,-0.002831,0.002895,0.002940,0.002940,0.002940,0.001576,-0.004335,-0.004332,0.001005,0.001005
2015,,,,,,,0.003130,0.003176,0.003176,0.003176,0.001297,-0.003968,-0.003965,0.001067,0.001067
2016,,,,,,,,0.003411,0.003411,0.003411,0.001017,-0.003950,-0.003947,0.000781,0.000781
2017,,,,,,,,,0.003646,0.003646,0.000741,-0.001999,0.000913,0.002510,0.002510
2018,,,,,,,,,,0.003881,0.000462,-0.001260,0.000248,0.001477,0.001477
2019,,,,,,,,,,,0.000182,-0.001488,0.005346,0.005751,0.005751
2020,,,,,,,,,,,,-0.002293,0.007697,0.007955,0.007968
2021,,,,,,,,,,,,,0.000056,0.000036,0.000051
2022,,,,,,,,,,,,,,0.000193,0.000211
2023,,,,,,,,,,,,,,,0.000383
