"YYYYMM","Total","Hydropower","Thermal Power","Nuclear Power","Wind Power","Solar Power"
200809,732.765568,136.292726,580.251866,,,
200810,,,,,,
200811,,,,,,
200812,,,,,,
200902,,,,,,
200903,,,,,,
200904,,,,,,
200905,,,,,,
200906,778.826165,149.592368,608.719122,,,
200907,,,,,,
200908,,,,,,
200909,800.180000,155.510000,622.030000,,,
200910,,,,,,
200911,,,,,,
200912,849.841017,189.352263,627.892305,,,
201002,,,,,,
201003,,,,,,
201004,,,,,,
201005,,,,,,
201006,869.170000,172.480000,665.330000,,,
201007,,,,,,
201008,,,,,,
201009,885.120000,176.960000,674.440000,,,
201010,,,,,,
201011,,,,,,
201012,962.190000,213.400000,706.630000,10.827273,32.707029,
201102,,,,,,
201103,,,,,,
201104,,,,,,
201105,,,,,,
201106,961.660000,188.740000,724.480000,,,
201107,,,,,,
201108,,,,,,
201109,976.950000,191.700000,733.910000,,,
201110,,,,,,
201111,,,,,,
201112,0.105000,0.023000,0.076000,11.910000,47,
201202,,,,,,
201203,,,,,,
201204,,,,,,
201205,,,,,,
201206,1047.030000,202.310000,776.910000,,,
201207,,,,,,
201208,,,,,,
201209,1063.460000,205.330000,787.440000,,,
201210,,,,,,
201211,,,,,,
201212,0.114400,0.024900,0.081900,12.570000,62.370000,
201302,,,,,,
201303,,,,,,
201304,,,,,,
201305,,,,,,
201306,1143.711152,221.783217,833.823529,,,
201307,,,,,,
201308,,,,,,
201309,1164.590616,230.877350,842.279202,,,
201310,,,,,,
201311,,,,,,
201312,1247.380000,280.020000,862.380000,,,
201402,,,,,,
201403,,,,,,
201404,,,,,,
201405,,,,,,
201406,1251.220000,253.720000,878.850000,,,
201407,,,,,,
201408,,,,,,
201409,1265.910000,257.890000,886.920000,,,
201410,,,,,,
201411,,,,,,
201412,1360.190000,301.830000,915.690000,,,
201502,,,,,,
201503,,,,,,
201504,,,,,,
201505,,,,,,
201506,1359.510000,268.130000,935.010000,,,
201507,,,,,,
201508,,,,,,
201509,1385.260000,273.800000,947.220000,,,
201510,,,,,,
201511,,,,,,
201512,1506.730000,319.370000,990.210000,,,
201602,,,,,,
201603,1493.825441,278.541267,1009.590476,,,
201604,,,,,,
201605,1507.129543,279.904031,1014.618321,28.490566,136.149733,
201606,1524.820000,280.770000,1019.350000,29.607843,137.098214,
201607,1534.934701,281.842610,1021.614136,30.707339,137.973333,
201608,1541.060465,283.381503,1024.268061,31.344765,138.570160,
201609,1547.600000,284.370000,1028.520000,31.338583,139.361702,
201610,1556.961789,285.188406,1031.771429,33.539326,141.203209,
201611,,,,,,
201612,1645.750000,332.110000,1053.880000,,,
201702,,,,,,
