"YYYYMM","Total","LNG","NEV","BEV","Rechargeable BEV","Battery-swapping BEV","Hydrogen fuel-cell","Hybrid","Diesel"
201901,,4500,,,,,,,
201902,,5800,,,,,,,
201903,,12300,,,,,,,
201904,,11000,,,,,,,
201905,,13000,96,,,,,,
201906,,39100,,,,,,,
201907,,3000,,,,,,,
201908,,1200,,,,,,,
201909,,2000,,,,,,,
201910,,5500,,,,,,,
201911,,9800,,,,,,,
201912,,8800,,,,,,,
202001,,5600,200,,,,0,,
202002,,900,40,,,,1,,
202003,,19700,100,,,,9,,
202004,,23500,100,,,,0,,
202005,,15900,150,,,,0,,
202006,,13700,200,,,,0,,
202007,,12300,300,,,,2,,
202008,,14900,300,,,,0,,
202009,,10800,300,,,,1,,
202010,,10800,200,,,,3,,
202011,,9800,200,,,,1,,
202012,,5200,300,,,,2,,
202101,,3400,200,,70,,0,,
202102,,5500,100,,30,,3,,
202103,,14400,300,,200,,74,,
202104,,8200,300,,130,,89,,
202105,,7200,378,,100,,45,,
202106,,5700,400,,200,,17,,
202107,,3900,700,,330,,111,,
202108,,2400,800,,370,,37,,
202109,,1900,1100,,530,,17,,
202110,,1600,1300,,730,,27,,
202111,,2200,1800,,1100,,146,,
202112,,1700,3000,,2100,,194,,
202201,,2501,2300,,1200,,14,,
202202,33000,2819,1000,,470,,11,,29181
202203,55000,3861,1500,,730,,72,,49639
202204,37000,2665,1100,,530,,14,,33235
202205,46000,3697,1825,,830,,27,,40478
202206,,4726,2400,,700,,414,,
202207,,4182,1400,,670,,98,,
202208,41000,2863,1800,,830,,172,,36337
202209,,2915,1800,,700,,216,,
202210,,1476,1700,,500,,217,,
202211,,2020,2100,,600,,414,,
202212,37500,3583,6100,,1930,,769,,27817
202301,28300,3254,1400,1400,600,800,58,0,23646
202302,59000,6458,1200,1200,500,700,24,0,51342
202303,76400,9528,1900,1700,900,800,116,80,64972
202304,55400,10100,2300,2200,1000,1200,99,0,43000
202305,50600,11300,1899,1700,700,1000,235,0,37401
202306,50000,12600,2801,2400,1100,1300,429,0,34599
202307,43000,10600,2370,2000,1100,900,349,20,30030
202308,52300,18900,2907,2600,1300,1300,342,0,30493
202309,58000,24600,3200,2900,1800,1100,145,160,30200
202310,55000,23300,3437,3100,1800,1300,259,80,28263
202311,48800,15200,4600,4000,2200,1800,555,50,29000
202312,36000,6140,6187,5200,2700,2500,1011,0,23673
202401,34000,6370,3623,3508,1969,1539,92,20,24007
202402,26500,9592,2025,1999,1234,765,22,0,14883
202403,75200,29300,5306,5039,2895,2144,240,30,40594
202404,64800,26400,4590,4363,2663,1700,216,10,33810
202405,68500,20900,5196,4744,2783,1961,402,50,42404
202406,47200,16200,7000,6566,4254,2312,349,90,24000
202407,46600,17900,6600,5927,3739,2188,647,30,22100
202408,40300,12300,6300,5688,3476,2212,584,30,21700
202409,43800,9425,7900,7569,4948,2621,288,40,26475
202410,45200,8880,8300,7657,4970,2687,514,130,28020
202411,57200,11400,10100,9469,6488,2981,492,140,35700
202412,69700,9554,15200,14500,8900,5584,582,120,44946
202501,33800,7676,7100,7100,4284,2726,34,0,19024
202502,48300,17700,8171,7991,5378,2613,94,90,22429
202503,72100,21600,15000,14200,9826,4444,708,90,35500
202504,69000,17100,15830,15600,10800,4830,93,134,36070
202505,63100,14000,15103,14900,10100,4806,77,130,33997
202506,69200,13500,18000,17600,12100,5573,300,100,37700
202507,64400,14000,16600,16300,11400,4956,236,86,33800
202508,66800,16700,17800,17500,12000,5500,162,76,32300
202509,83400,23400,24100,23500,15800,7641,78,565,35900
202510,70100,21100,20100,19700,14000,5691,221,152,28900
202511,76700,19400,27900,27200,20000,7354,592,119,29400
202512,84000,12500,45300,40800,29300,11500,4202,284,26200
202601,48400,11000,16100,15900,11500,4393,33,147,21300
202602,28400,8673,7435,7363,5518,1845,2,70,12292
202603,87600,32000,20400,19992.107340,14926,5066,14,394,35200
202604,92500,30600,27900,27600,20900,6700,13,331,34000
202605,75400,13900,30800,30300,23200,7111,184,371,30700
202606,83600,,37400,,,,,,
