"Year","COG production Eora 199.082 (2023)"
1970,0.586000
1971,0.696000
1972,0.678000
1973,1.230000
1974,1.630000
1975,1.110000
1976,1.240000
1977,0.492000
1978,0.335000
1979,0.360000
1980,0.418000
1981,0.484000
1982,1.360000
1983,1.160000
1984,1.170000
1985,1.290000
1986,1.080000
1987,1.330000
1988,1.510000
1989,1.510000
1990,1.190000
1991,1.010000
1992,1.280000
1993,1.330000
1994,2.160000
1995,1.570000
1996,1.730000
1997,2.360000
1998,0.802000
1999,0.851000
2000,1.060000
2001,0.800000
2002,0.616000
2003,0.963000
2004,1
2005,0.990000
2006,1.130000
2007,1.220000
2008,1.320000
2009,1.750000
2010,1.990000
2011,2.270000
2012,2.970000
2013,3.080000
2014,2.980000
2015,2.790000
2016,2.970000
2017,2.980000
2018,3.112779
2019,3.407961
2020,3.644652
2021,3.841135
2022,3.708215
