"Year","HTI production Eora 199.082 (2023)"
1970,0.398000
1971,0.416000
1972,0.405000
1973,0.435000
1974,0.486000
1975,0.498000
1976,0.687000
1977,0.719000
1978,0.766000
1979,0.766000
1980,0.761000
1981,0.776000
1982,0.835000
1983,0.904000
1984,0.921000
1985,0.948000
1986,0.849000
1987,0.918000
1988,1.030000
1989,1.040000
1990,1
1991,1
1992,0.919000
1993,0.679000
1994,0.372000
1995,0.980000
1996,1.120000
1997,1.460000
1998,1.330000
1999,1.430000
2000,1.470000
2001,1.580000
2002,1.830000
2003,1.740000
2004,1.990000
2005,2.080000
2006,2.110000
2007,2.390000
2008,2.390000
2009,2.270000
2010,2.120000
2011,2.210000
2012,2.310000
2013,2.400000
2014,2.850000
2015,2.910000
2016,2.990000
2017,2.980000
2018,3.383821
2019,3.636511
2020,3.900118
2021,4.175932
2022,3.020114
