"Year","NLD production EXIOBASE 3.8.2","NLD production WIOD2016","NLD production OECDv2","NLD production Eora 199.082 (2023)","NLD production FIGARO April 2022","NLD production GCB 2023v26","NLD production Eurostat NAMEA"
1970,,,,144,,,
1971,,,,143,,,
1972,,,,159,,,
1973,,,,167,,,
1974,,,,162,,,
1975,,,,154,,,
1976,,,,171,,,
1977,,,,165,,,
1978,,,,171,,,
1979,,,,188,,,
1980,,,,178,,,
1981,,,,166,,,
1982,,,,135,,,
1983,,,,139,,,
1984,,,,146,,,
1985,,,,149,,,
1986,,,,146,,,
1987,,,,153,,,
1988,,,,148,,,
1989,,,,163,,,
1990,,,,163,,162.665109,
1991,,,,172,,171.110624,
1992,,,,171,,170.918107,
1993,,,,171,,170.863253,
1994,,,,172,,171.648182,
1995,184.556686,,171.035485,174,,173.201146,188.426532
1996,194.496947,,178.483781,183,,182.296541,197.170816
1997,188.139002,,173.052976,176,,175.285348,192.430733
1998,188.691349,,173.715994,177,,176.237573,193.831371
1999,184.382788,,168.820551,172,,170.854252,190.711552
2000,185.605361,191.272483,172.144276,173,,172.016286,192.409664
2001,190.726400,196.222696,177.996549,178,,177.146205,197.372869
2002,190.108799,194.829205,178.522534,177,,176.466076,196.110987
2003,191.387501,198.302752,183.389416,180,,179.896911,199.682841
2004,194.475553,200.029086,185.023165,182,,181.780436,201.727345
2005,190.320576,197.489275,180.140793,178,,177.859111,198.083451
2006,186.305657,189.894262,178.400410,173,,172.991339,191.259669
2007,187.724049,190.926508,181.042451,173,,172.746750,192.852772
2008,191.048306,193.713268,183.145941,176,,175.710968,196.123729
2009,185.771049,187.478040,176.300185,171,,170.336247,189.594713
2010,197.207898,199.041391,187.094092,183,199.957467,182.358957,200.792451
2011,186.673444,186.331949,174.934658,170,187.501896,169.123829,187.968176
2012,184.027577,183.177978,,167,185.385048,165.481768,185.432919
2013,183.535299,183.191712,,167,185.750394,164.874212,185.489981
2014,177.190974,178.544830,,160,180.544483,157.467569,180.168579
2015,186.087512,,,167,187.008414,163.802240,186.546418
2016,185.747987,,,167,186.872609,164.691321,186.518594
2017,182.745907,,,165,183.375865,162.202582,183.505835
2018,179.508245,,,168.639400,178.787841,158.133898,179.402053
2019,173.962532,,,167.585900,172.812694,152.509407,175.473700
2020,175.672740,,,166.477600,152.705686,136.684618,154.720727
2021,178.540930,,,165.318700,,139.906958,157.340938
2022,185.252940,,,172.776300,,,
