"Year","ZWE production Eora 199.082 (2023)","ZWE production GCB 2023v26","ZWE consumption Eora 199.082 (2023)","ZWE consumption GCB 2023v26","ZWE net_trade Eora 199.082 (2023)","ZWE net_trade GCB 2023v26"
1970,15.600000,,14.398300,,-1.201700,
1971,15.200000,,13.705320,,-1.494680,
1972,14.700000,,12.770660,,-1.929340,
1973,16.900000,,14.590420,,-2.309580,
1974,16.800000,,14.310980,,-2.489020,
1975,13.100000,,11.419280,,-1.680720,
1976,15.700000,,13.937610,,-1.762390,
1977,14.300000,,13.199700,,-1.100300,
1978,13.100000,,11.862690,,-1.237310,
1979,14.600000,,13.422010,,-1.177990,
1980,13.500000,,12.450330,,-1.049670,
1981,12.700000,,11.961310,,-0.738690,
1982,10.400000,,9.952236,,-0.447764,
1983,10.400000,,9.523735,,-0.876265,
1984,10.700000,,9.476423,,-1.223577,
1985,11.400000,,11.526330,,0.126330,
1986,14.100000,,11.106080,,-2.993920,
1987,15.600000,,12.213030,,-3.386970,
1988,16.400000,,14.773580,,-1.626420,
1989,16.100000,,16.133060,,0.033060,
1990,15.600000,15.551593,15.239420,17.999473,-0.360580,2.447880
1991,16,15.501544,15.777610,17.451855,-0.222390,1.950311
1992,16.900000,16.713458,15.416970,17.653659,-1.483030,0.940202
1993,15.500000,16.046611,10.775040,16.790225,-4.724960,0.743614
1994,17.400000,17.393590,13.967180,17.384146,-3.432820,-0.009445
1995,17.500000,15.028392,16.273580,15.949778,-1.226420,0.921386
1996,18.700000,14.908902,17.369100,16.539848,-1.330900,1.630945
1997,19.600000,13.911984,18.410990,14.965534,-1.189010,1.053550
1998,21.100000,14.131139,17.204020,13.556473,-3.895980,-0.574665
1999,26.300000,15.727769,21.424030,14.021106,-4.875970,-1.706663
2000,25.400000,13.818202,19.217230,11.982823,-6.182770,-1.835379
2001,21.800000,12.508722,17.496490,11.385983,-4.303510,-1.122739
2002,19.600000,11.895839,15.850040,12.144020,-3.749960,0.248181
2003,16.400000,10.609583,13.494380,11.458021,-2.905620,0.848438
2004,13.400000,9.428642,10.976950,9.740350,-2.423050,0.311707
2005,13.600000,10.698489,10.765010,10.930189,-2.834990,0.231700
2006,11.400000,10.365461,9.087209,11.258772,-2.312791,0.893311
2007,10.700000,9.835161,8.155669,11.032105,-2.544331,1.196944
2008,8.400000,7.720094,6.155040,10.377317,-2.244960,2.657223
2009,6,8.249769,5.153115,9.687178,-0.846885,1.437410
2010,8.390000,8.754012,7.185792,9.264605,-1.204208,0.510593
2011,10.200000,10.363199,1.979793,10.435418,-8.220207,0.072219
2012,8.310000,11.253769,2.134033,11.884939,-6.175967,0.631170
2013,12.100000,11.671374,2.209484,12.171604,-9.890516,0.500230
2014,12.400000,11.946148,2.175481,12.743881,-10.224519,0.797733
2015,12.900000,12.254954,2.188044,13.400556,-10.711956,1.145601
2016,12.800000,10.533453,15.095390,11.746879,2.295390,1.213426
2017,13.600000,9.295629,15.468660,9.590650,1.868660,0.295021
2018,12.415830,10.714598,15.751240,10.626222,3.335410,-0.088376
2019,10.865910,9.775428,14.495050,9.918432,3.629140,0.143004
2020,11.001360,7.849639,14.855130,8.667624,3.853770,0.817985
2021,11.164430,8.388339,14.634130,9.483932,3.469700,1.095593
2022,11.263030,,14.312510,,3.049480,
